187,1003_IOM_HAP_XX,H,59.8,H,79.8,H,72.22
193,1003_IWW_HAP_XX,H,79.89,H,78.45,H,63.3
195,1003_IWW_ANG_XX,A,67.88,H,56.25,A,59.5
199,1003_TAI_HAP_XX,F,54,H,90.1,H,66.89
205,1003_MTI_HAP_XX,N,65.17,H,77.09,H,75.5
211,1003_IWL_HAP_XX,N,53.5,H,78.6,H,87.2
217,1003_ITH_HAP_XX,N,73.75,H,77.8,H,62.56
219,1003_ITH_ANG_XX,A,82,H,62.67,A,52.25
223,1003_DFA_HAP_XX,H:S,48.00:40.67,H,79,H,86.78
229,1003_ITS_HAP_XX,H,63.5,H,84.7,H,77.33
235,1003_TSI_HAP_XX,H:N:S,58.5:62.5:31.5,H,74.67,H,74.56
241,1003_WSI_HAP_XX,S,70.6,H,87.88,H,78
247,1004_IEO_HAP_LO,N,54,H,73.78,H,71.9
248,1004_IEO_HAP_MD,D,61,H,78.9,H,71.11
249,1004_IEO_HAP_HI,F,77.25,H,84.78,H,91.8
263,1004_TIE_HAP_XX,D,69.67,H,68.33,H,53.57
269,1004_IOM_HAP_XX,H,62.33,H,75.6,H,81.38
275,1004_IWW_HAP_XX,H:N,53.25:75.25,H,77.2,H,66.25
281,1004_TAI_HAP_XX,N,72.5,H,78.27,H,74.33
287,1004_MTI_HAP_XX,N,72.33,H,81.8,H,70.25
293,1004_IWL_HAP_XX,N,72.5,H,76.4,H,74.3
299,1004_ITH_HAP_XX,F,60.4,H,84.2,H,86.67
305,1004_DFA_HAP_XX,H,70.5,H,90.36,H,75.7
311,1004_ITS_HAP_XX,N,63.5,H,59.62,H,62.12
317,1004_TSI_HAP_XX,N,52.8,H,72.71,H,67.64
323,1004_WSI_HAP_XX,D,40.67,H,76.33,H,75.3
329,1005_IEO_HAP_LO,N,74.29,H,66.71,H,51.6
330,1005_IEO_HAP_MD,N,69.2,H,72.44,H,71.6
331,1005_IEO_HAP_HI,H,74.14,H,69.11,H,72.3
345,1005_TIE_HAP_XX,H,73.75,H,66,H,79.14
351,1005_IOM_HAP_XX,H,71.83,H,72.6,H,76
363,1005_TAI_HAP_XX,H,67.4,H,55.5,H,61.17
369,1005_MTI_HAP_XX,N,70.17,H,63.5,H,76.14
375,1005_IWL_HAP_XX,N,54.71,H,59.38,H,61.71
381,1005_ITH_HAP_XX,N,64,H,67.9,H,65
387,1005_DFA_HAP_XX,N,78.5,H,85.11,H,68
393,1005_ITS_HAP_XX,H,62.67,H,71.44,H,63.4
399,1005_TSI_HAP_XX,H,63.4,H,75.22,H,81
405,1005_WSI_HAP_XX,A,28.67,H,83.7,H,60.25
411,1006_IEO_HAP_LO,N,70.75,H,55,H,46.5
412,1006_IEO_HAP_MD,N,73.43,H,71.62,H,55.44
413,1006_IEO_HAP_HI,H,59.5,H,81.89,H,82.62
433,1006_IOM_HAP_XX,H,44.33,H,77.33,H,80.29
439,1006_IWW_HAP_XX,H,43.67,H,74.75,H,61.12
445,1006_TAI_HAP_XX,H,53.14,H,64.5,H,64.75
451,1006_MTI_HAP_XX,H:N,51.0:59.8,H,52.17,H,51.14
457,1006_IWL_HAP_XX,H,79.6,H,61.44,H,57
469,1006_DFA_HAP_XX,H,59.62,H,56.29,H,67.75
475,1006_ITS_HAP_XX,H,67.62,H,62.71,H,59.1
481,1006_TSI_HAP_XX,N,41.33,H,58.12,H,66.25
487,1006_WSI_HAP_XX,H,58.5,H,59.38,H,62.8
493,1007_IEO_HAP_LO,H,62.6,H,76.6,H,68.44
494,1007_IEO_HAP_MD,N,67.75,H,70.89,H,70.4
495,1007_IEO_HAP_HI,H,71.12,H,76.67,H,87.33
509,1007_TIE_HAP_XX,N,59.33,H,64.22,H,52.33
515,1007_IOM_HAP_XX,N,68.83,H,80.8,H,72.9
521,1007_IWW_HAP_XX,N,56.33,H,70,H,71.5
527,1007_TAI_HAP_XX,S,55,H,68.67,H,76.25
533,1007_MTI_HAP_XX,N,38,H,62.5,H,66.44
539,1007_IWL_HAP_XX,H:N,57.8:72.4,H,79.91,H,78.5
545,1007_ITH_HAP_XX,N,56.33,H,67.7,H,58.88
551,1007_DFA_HAP_XX,H,61.83,H,77.2,H,63.3
557,1007_ITS_HAP_XX,N,78.75,H,83.56,H,66
563,1007_TSI_HAP_XX,N,74,H,62,H,69.2
569,1007_WSI_HAP_XX,N,64,H,71.29,H,68.1
575,1008_IEO_HAP_LO,N,56,H,67.88,H,60
576,1008_IEO_HAP_MD,H,53.4,H,86.1,H,82
577,1008_IEO_HAP_HI,F,83.75,H,78.78,H,93.2
591,1008_TIE_HAP_XX,H,58.2,H,88.75,H,67
597,1008_IOM_HAP_XX,N,81.7,H,80.1,H,74.57
603,1008_IWW_HAP_XX,H,47.83,H,75.8,H,82
609,1008_TAI_HAP_XX,N,76.5,H,68.6,H,56.78
615,1008_MTI_HAP_XX,H,63.67,H,77.5,H,64.75
621,1008_IWL_HAP_XX,H,69.33,H,82.6,H,76.7
627,1008_ITH_HAP_XX,N,50.75,H,76.88,H,71.71
633,1008_DFA_HAP_XX,H,48.33,H,73.22,H,73.56
639,1008_ITS_HAP_XX,H,54.78,H,85.7,H,80
645,1008_TSI_HAP_XX,F,60.2,H,87.29,H,68.75
651,1009_IEO_HAP_LO,H,53.43,H,71.56,H,61.2
652,1009_IEO_HAP_MD,H,71.12,H,76.55,H,78.56
653,1009_IEO_HAP_HI,A,79,H,81.4,H,83.1
667,1009_TIE_HAP_XX,D,60.5,H,82.8,H,78.9
673,1009_IOM_HAP_XX,H,71.83,H,85.5,H,93.43
679,1009_IWW_HAP_XX,H:N,25.5:54.5,H,83.6,H,76.22
685,1009_TAI_HAP_XX,F,71.67,H,80.2,H,78.88
691,1009_IWL_HAP_XX,H,72.62,H,77.73,H,64.55
693,1009_IWL_ANG_XX,A,80.83,H,55.5,A,52.5
697,1009_ITH_HAP_XX,H,61.86,H,79,H,78.7
703,1009_DFA_HAP_XX,H,61.5,H,73.45,H,75.3
709,1009_ITS_HAP_XX,H,61.38,H,79.8,H,88.91
715,1009_TSI_HAP_XX,N,71,H,84.6,H,61.18
721,1009_WSI_HAP_XX,H,56.22,H,87.12,H,80.11
727,1010_IEO_HAP_LO,N,78.83,H,67.9,H,66.22
728,1010_IEO_HAP_MD,N,79,H,71.38,H,72.78
729,1010_IEO_HAP_HI,F,46.75,H,66.78,H,78.22
740,1010_IEO_DIS_MD,D,58.86,H,63.75,H,55.86
743,1010_TIE_HAP_XX,N,44.4,H,72.33,H,66.8
749,1010_IOM_HAP_XX,N,64.5,H,72.2,H,67
755,1010_IWW_HAP_XX,H,51.75,H,75.78,H,73.33
759,1010_IWW_DIS_XX,F,53.8,H,64.12,H,41.8
761,1010_TAI_HAP_XX,N,67.62,H,64,H,46.29
767,1010_MTI_HAP_XX,H,61,H,53.62,H,55.38
773,1010_IWL_HAP_XX,H,66,H,63.2,H,71
779,1010_ITH_HAP_XX,H,60,H,73.27,H,73.33
785,1010_DFA_HAP_XX,N,76.2,H,71.9,H,62.25
791,1010_ITS_HAP_XX,H,58.44,H,76.88,H,63.1
797,1010_TSI_HAP_XX,F,57.67,H,76.82,H,75.25
803,1010_WSI_HAP_XX,H,68.25,H,83.4,H,64.8
809,1011_IEO_HAP_LO,N,59.44,H,71.1,H,43.56
810,1011_IEO_HAP_MD,N,57.17,H,60.5,H,55
811,1011_IEO_HAP_HI,H,78.43,H,75.22,H,74.44
825,1011_TIE_HAP_XX,N,63.67,H,51.12,N,68.17
831,1011_IOM_HAP_XX,N,17.75,H,53.67,H,76.7
843,1011_TAI_HAP_XX,N,64.67,H,53.9,H,63.86
855,1011_IWL_HAP_XX,N,85.6,H,74.6,H,71.38
861,1011_ITH_HAP_XX,N,72.25,H,64.11,H,50.11
867,1011_DFA_HAP_XX,N,70,H,67.1,H,77.62
873,1011_ITS_HAP_XX,N,67.86,H,53.67,H,62.56
879,1011_TSI_HAP_XX,N,53,H,77.5,H,68.75
885,1011_WSI_HAP_XX,N,60.75,H,69.9,H,82.1
892,1012_IEO_HAP_MD,N,67.75,H,78.9,H,74.5
893,1012_IEO_HAP_HI,H,58,H,75,H,77.89
907,1012_TIE_HAP_XX,N,73.8,H,84.22,H,75.7
913,1012_IOM_HAP_XX,A:N,27.50:60.75,H,82,H,69.88
919,1012_IWW_HAP_XX,F,61.5,H,80.3,H,67.2
925,1012_TAI_HAP_XX,N,61.33,H,77.1,H,75
931,1012_MTI_HAP_XX,N,57.6,H,76.56,H,79.75
937,1012_IWL_HAP_XX,N,77.2,H,73.89,H,76.67
943,1012_ITH_HAP_XX,N,42.5,H,72.88,H,72.2
949,1012_DFA_HAP_XX,A,47.25,H,69.9,H,76.89
955,1012_ITS_HAP_XX,N,52,H,88.25,H,75
961,1012_TSI_HAP_XX,F,25,H,79.5,H,78.6
967,1012_WSI_HAP_XX,N,43.25,H,72.9,H,66.89
973,1013_IEO_HAP_LO,N,73.88,H,66.25,H,61.11
974,1013_IEO_HAP_MD,D:H:N,33.67:55.33:79.67,H,84.89,H,65.44
975,1013_IEO_HAP_HI,F,62,H,74.78,H,90.2
989,1013_TIE_HAP_XX,N,70.6,H,81.11,H,71.5
995,1013_IOM_HAP_XX,H,78.4,H,79.75,H,82
1001,1013_IWW_HAP_XX,N,65,H,90.38,H,73
1007,1013_TAI_HAP_XX,H,66,H,79.5,H,78.3
1013,1013_MTI_HAP_XX,A,44.33,H,88.43,H,74.7
1019,1013_IWL_HAP_XX,H,45.75,H,88.33,H,78.5
1025,1013_ITH_HAP_XX,A:H,47.33:54.33,H,82.91,H,79.2
1031,1013_DFA_HAP_XX,H,70.38,H,78.3,H,74.9
1037,1013_ITS_HAP_XX,H,52.6,H,79.55,H,82.8
1043,1013_TSI_HAP_XX,A,49.75,H,71.78,H,67.88
1049,1013_WSI_HAP_XX,S,57,H,73.56,H,81.71
1055,1014_IEO_HAP_LO,N,73.4,H,68.4,H,57
1056,1014_IEO_HAP_MD,N,65.43,H,82.12,H,74.4
1057,1014_IEO_HAP_HI,H,68,H,74.22,H,86.56
1071,1014_TIE_HAP_XX,A,59,H,75.5,H,61.4
1077,1014_IOM_HAP_XX,N,71.2,H,71.33,H,74.8
1083,1014_IWW_HAP_XX,D:N,44.67:68.00,H,75.22,H,72.17
1089,1014_TAI_HAP_XX,N,54,H,74.9,H,61.2
1095,1014_MTI_HAP_XX,N,95,H,77.7,H,69.29
1101,1014_IWL_HAP_XX,N,88,H,59.44,H,79.7
1107,1014_ITH_HAP_XX,N,51.14,H,74.36,H,66.4
1113,1014_DFA_HAP_XX,H:N,64.00:73.25,H,75.56,H,53.5
1119,1014_ITS_HAP_XX,H:N,51:70,H,74.7,H,71
1125,1014_TSI_HAP_XX,F,45.33,H,75.67,H,68.86
1131,1014_WSI_HAP_XX,A,49.6,H,62.88,H,68.6
1137,1015_IEO_HAP_LO,N,63.4,H,56.5,H,60.22
1138,1015_IEO_HAP_MD,N,69.17,H,67.25,H,47.83
1139,1015_IEO_HAP_HI,N,47,H,70,H,64.78
1153,1015_TIE_HAP_XX,N,79.75,H,76,H,69.78
1158,1015_IOM_NEU_XX,N,64.8,H,52.57,N,80.33
1159,1015_IOM_HAP_XX,H,68.75,H,74.25,H,61.75
1165,1015_IWW_HAP_XX,H,42.67,H,69.56,H,59.56
1171,1015_TAI_HAP_XX,H,62,H,75.2,H,71.71
1183,1015_IWL_HAP_XX,N,55.67,H,62.9,H,52
1187,1015_IWL_DIS_XX,N,62.71,H,58.5,D,38.71
1195,1015_DFA_HAP_XX,H,75.5,H,58.22,H,79.4
1201,1015_ITS_HAP_XX,F:H:N,37.00:66.33:54.00,H,54.8,H,53.78
1206,1015_TSI_NEU_XX,N,59,H,59.11,H,49.38
1207,1015_TSI_HAP_XX,F,63.5,H,70.7,H,84.82
1219,1016_IEO_HAP_LO,H,31.83,H,62.12,H,71.56
1220,1016_IEO_HAP_MD,N,47.4,H,67,H,45.43
1221,1016_IEO_HAP_HI,N,58,H,67.89,H,69.11
1235,1016_TIE_HAP_XX,H:N,41:77,H,76.22,H,55.5
1241,1016_IOM_HAP_XX,N,52,H,69.88,H,61.5
1247,1016_IWW_HAP_XX,N,73,H,63.4,H,56.14
1253,1016_TAI_HAP_XX,H,38.4,H,70.7,H,62.1
1259,1016_MTI_HAP_XX,N,78.67,H,63.5,H,46.25
1265,1016_IWL_HAP_XX,N,61.14,H,68.75,H,51.33
1271,1016_ITH_HAP_XX,H:N,60.6:74.6,H,63.8,H,67.11
1277,1016_DFA_HAP_XX,N,74.8,H,79,H,69.56
1283,1016_ITS_HAP_XX,H,49.62,H,62.22,H,77.9
1289,1016_TSI_HAP_XX,F:N,52.5:67.5,H,69.88,H,70.78
1295,1016_WSI_HAP_XX,A,42.2,H,74.09,H,71.43
1301,1017_IEO_HAP_LO,N,70.83,H,66.57,H:N,54.0:79.4
1303,1017_IEO_HAP_HI,H,34,H,63.5,H,67
1317,1017_TIE_HAP_XX,N,76.14,H,60.33,H,40.43
1329,1017_IWW_HAP_XX,N,50,H,59.56,H,72.83
1347,1017_IWL_HAP_XX,N,75.2,H,53.67,H,58.5
1371,1017_TSI_HAP_XX,N,55.2,H,57.7,H,64.22
1377,1017_WSI_HAP_XX,A,60,H,56.25,H,64.71
1384,1018_IEO_HAP_MD,N,74.83,H,56.2,H,47.78
1385,1018_IEO_HAP_HI,D,69.6,H,57.22,H,57.56
1399,1018_TIE_HAP_XX,N,59.71,H,74.82,H,59.5
1405,1018_IOM_HAP_XX,N,72.83,H,87.22,H,74.25
1411,1018_IWW_HAP_XX,N,52.25,H,76,H,52.88
1417,1018_TAI_HAP_XX,F:N,49.00:66.25,H,76.33,H,77
1423,1018_MTI_HAP_XX,H:S,42.33:52.00,H,70.7,H,73.38
1429,1018_IWL_HAP_XX,A:N,34.25:44.00,H,76.4,H,80
1435,1018_ITH_HAP_XX,H,55.75,H,73.67,H,68
1441,1018_DFA_HAP_XX,H,74.29,H,59,H,70.75
1447,1018_ITS_HAP_XX,H,45.67,H,58.78,H,74.44
1453,1018_TSI_HAP_XX,N,55.75,H,88.29,H,63.89
1459,1018_WSI_HAP_XX,H:N,60.67:72.33,H,73.6,H,77.2
1465,1019_IEO_HAP_LO,N,72.88,H,70,H,55.44
1466,1019_IEO_HAP_MD,N,84.33,H,77.4,H,72.88
1467,1019_IEO_HAP_HI,N,75.67,H,81.57,H,68.6
1481,1019_TIE_HAP_XX,N,60.75,H,73,H,77.43
1487,1019_IOM_HAP_XX,N,77.6,H,73.2,H,58.7
1493,1019_IWW_HAP_XX,H,55,H,64.67,H,61.5
1499,1019_TAI_HAP_XX,N,76.8,H,72.88,H,57.71
1505,1019_MTI_HAP_XX,N,57.83,H,70.5,H,68.4
1511,1019_IWL_HAP_XX,N,64.67,H,75.38,H,68.56
1517,1019_DFA_HAP_XX,N,53.5,H,74.22,H,63.44
1523,1019_ITS_HAP_XX,H:N:S,50.33:43.67:68.00,H,69.7,H,53.9
1529,1019_TSI_HAP_XX,H:N,58.00:45.67,H,63.4,H,71.7
1535,1019_WSI_HAP_XX,N,62.5,H,61.5,H,67.25
1541,1020_IEO_HAP_LO,N,57.22,H,68.8,H,61.78
1542,1020_IEO_HAP_MD,H,64.25,H,80.27,H,79.6
1543,1020_IEO_HAP_HI,S,68.29,H,82,H,74.1
1557,1020_TIE_HAP_XX,H,68.8,H,82.43,H,62.7
1563,1020_IOM_HAP_XX,H:N,38.75:56.25,H,82.12,H,65.3
1569,1020_IWW_HAP_XX,N,57,H,74.56,H,54.78
1575,1020_TAI_HAP_XX,F:H,72.33:50.00,H,77.67,H,75.1
1581,1020_MTI_HAP_XX,N,56.5,H,58.11,H,62.43
1587,1020_IWL_HAP_XX,H,73.67,H,80,H,63.5
1593,1020_ITH_HAP_XX,N,74.17,H,68.5,H,67
1599,1020_DFA_HAP_XX,H:N,69:61,H,59.11,H,71.89
1605,1020_ITS_HAP_XX,H,40.4,H,63.2,H,54.7
1611,1020_TSI_HAP_XX,D,45,H,80.5,H,64
1617,1020_WSI_HAP_XX,H,68.33,H,72.1,H,84.9
1623,1021_IEO_HAP_LO,H,45.5,H,58.89,H,59
1624,1021_IEO_HAP_MD,N,72,H,72.22,H,57.5
1625,1021_IEO_HAP_HI,D,47.2,H,75.57,H,76
1639,1021_TIE_HAP_XX,N,72.78,H,68.6,H,56.1
1644,1021_IOM_NEU_XX,N,62,H,64.44,H,57.5
1645,1021_IOM_HAP_XX,N,76.67,H,79.8,H,72.4
1651,1021_IWW_HAP_XX,N,45.5,H,75.11,H,72.78
1657,1021_TAI_HAP_XX,H,59.5,H,84.22,H,47.88
1662,1021_MTI_NEU_XX,N,70.12,H,53.11,H,55.17
1663,1021_MTI_HAP_XX,N,55.6,H,76.33,H,46.71
1669,1021_IWL_HAP_XX,N,56.71,H,57.7,H,61.78
1675,1021_ITH_HAP_XX,N,56.14,H,62.78,H,60.2
1681,1021_DFA_HAP_XX,N,78.67,H,65.2,H,65.33
1687,1021_ITS_HAP_XX,N,62.67,H,83.55,H,56.7
1693,1021_TSI_HAP_XX,N,67.6,H,82.11,H,67.33
1699,1021_WSI_HAP_XX,N,56.17,H,80.27,H,72.5
1705,1022_IEO_HAP_LO,N,87,H,55.6,H,59.5
1706,1022_IEO_HAP_MD,H:N,31.25:70.50,H,69.5,H,73.4
1707,1022_IEO_HAP_HI,N,75.6,H,88.29,H,85.62
1721,1022_TIE_HAP_XX,N,74,H,89.78,H,66
1727,1022_IOM_HAP_XX,N,58.2,H,80.56,H,75.18
1733,1022_IWW_HAP_XX,H:N,51.67:82.00,H,86.33,H,68.1
1739,1022_TAI_HAP_XX,H,57.67,H,76.88,H,70.8
1745,1022_MTI_HAP_XX,N,67,H,81.9,H,56.33
1751,1022_IWL_HAP_XX,N,63.86,H,73.11,H,77.4
1757,1022_ITH_HAP_XX,N,72.43,H,81.44,H,71.62
1763,1022_DFA_HAP_XX,H,62.17,H,81.5,H,72.11
1769,1022_ITS_HAP_XX,D,45.83,H,81.56,H,72.2
1775,1022_TSI_HAP_XX,N,78,H,88.4,H,77.4
1781,1022_WSI_HAP_XX,H,55.25,H,76.7,H,79.56
1787,1023_IEO_HAP_LO,H,66.33,H,82.22,H,69.56
1788,1023_IEO_HAP_MD,N,56.62,H,85.7,H,72.75
1789,1023_IEO_HAP_HI,H,74.4,H,82.3,H,85.57
1803,1023_TIE_HAP_XX,H,53.43,H,83.38,H,70.8
1809,1023_IOM_HAP_XX,H,51.71,H,77.3,H,67.6
1815,1023_IWW_HAP_XX,H:N,47.33:70.67,H,70.33,H,84
1821,1023_TAI_HAP_XX,H,53,H,69.2,H,78.45
1827,1023_MTI_HAP_XX,H:N,43.75:45.25,H,66.9,H,76.75
1833,1023_IWL_HAP_XX,H:N,47.25:75.25,H,71,H,72.89
1839,1023_ITH_HAP_XX,N,48.5,H,80.1,H,68.5
1845,1023_DFA_HAP_XX,H,62.33,H,70.56,H,60.1
1851,1023_ITS_HAP_XX,H,63.67,H,73.33,H,83.5
1857,1023_TSI_HAP_XX,H,47,H,73.2,H,57.43
1863,1023_WSI_HAP_XX,N,65.4,H,70.1,H,72.12
1869,1024_IEO_HAP_LO,N,50.17,H,58.5,H,67.14
1870,1024_IEO_HAP_MD,N,80.62,H,62.89,H,60
1871,1024_IEO_HAP_HI,N,61.6,H,70,H:N,28.75:65.00
1897,1024_IWW_HAP_XX,N,70.2,H,65.4,H,57.6
1933,1024_ITS_HAP_XX,N,56.33,H,63.6,H,43.5
1951,1025_IEO_HAP_LO,H,71.4,H,89,H,58.4
1952,1025_IEO_HAP_MD,N,60,H,66.7,H,69.67
1953,1025_IEO_HAP_HI,A:H,58.00:57.67,H,81.2,H,73.8
1967,1025_TIE_HAP_XX,N,74.4,H,63,H,56.11
1973,1025_IOM_HAP_XX,H,59.89,H,75.86,H,64.8
1979,1025_IWW_HAP_XX,N,72,H,68.4,H,79.83
1985,1025_TAI_HAP_XX,H,52,H,71.6,H,63.44
1991,1025_MTI_HAP_XX,H:N,60.67:67.33,H,73.38,H,64
1997,1025_IWL_HAP_XX,N,73,H,68.33,H,45.25
2003,1025_ITH_HAP_XX,H,67.17,H,72.8,H,66.3
2009,1025_DFA_HAP_XX,H,55.5,H,70.75,H,68.44
2015,1025_ITS_HAP_XX,N,64.29,H,58.62,H,52.89
2021,1025_TSI_HAP_XX,N,57.83,H,60.7,H,61.5
2027,1025_WSI_HAP_XX,A,8.667,H,55.67,H,45.88
2033,1026_IEO_HAP_LO,N,72.86,H,60,H,67.1
2034,1026_IEO_HAP_MD,N,73,H,82.12,H,67.57
2035,1026_IEO_HAP_HI,N,56.5,H,71.56,H,73
2049,1026_TIE_HAP_XX,H:N,69.67:73.67,H,71.44,H,64.22
2055,1026_IOM_HAP_XX,H,36.8,H,77.43,H,50.27
2061,1026_IWW_HAP_XX,N,39.75,H,76.89,H,55.43
2067,1026_TAI_HAP_XX,N,59.4,H,75.5,H,73.5
2073,1026_MTI_HAP_XX,N,64.6,H,69,H,69.6
2079,1026_IWL_HAP_XX,N,65.83,H,58.33,H,48.7
2085,1026_ITH_HAP_XX,N,67,H,81.1,H,76.7
2091,1026_DFA_HAP_XX,N,80.83,H,87.9,H,69.62
2097,1026_ITS_HAP_XX,A:F,36:43,H,54.25,H,77.22
2103,1026_TSI_HAP_XX,D:H,56.33:71.67,H,82,H,75.56
2109,1026_WSI_HAP_XX,N,59.83,H,79.5,H,71.62
2115,1027_IEO_HAP_LO,N,69.86,H,61,H,61.4
2116,1027_IEO_HAP_MD,N,74.14,H,62.6,H,66.9
2117,1027_IEO_HAP_HI,F,68,H,83.88,H,66.67
2137,1027_IOM_HAP_XX,N,75.4,H,55.33,H,66.78
2143,1027_IWW_HAP_XX,N,45.2,H,79.78,H,69
2149,1027_TAI_HAP_XX,N,67.67,H,64.88,H,59
2155,1027_MTI_HAP_XX,N,71.5,H,64.11,H,44.43
2161,1027_IWL_HAP_XX,N,63.33,H,75.29,H,57.75
2167,1027_ITH_HAP_XX,N,43,H,76,H,48
2173,1027_DFA_HAP_XX,N,58.83,H,68.56,H,55.9
2179,1027_ITS_HAP_XX,H,55.6,H,75.4,H,52.2
2185,1027_TSI_HAP_XX,F,58.5,H,77.44,H,51
2191,1027_WSI_HAP_XX,A,64.5,H,68.33,H,68.11
2197,1028_IEO_HAP_LO,H,58.4,H,50.71,N,72.67
2199,1028_IEO_HAP_HI,N,46,H,68,H,67.3
2213,1028_TIE_HAP_XX,N,69.8,H,69.11,H,56.71
2219,1028_IOM_HAP_XX,H,35.2,H,86.22,H,72
2225,1028_IWW_HAP_XX,H,59.67,H,77.88,H,70
2231,1028_TAI_HAP_XX,F,78.5,H,70.38,H,63
2237,1028_MTI_HAP_XX,H:N,57.33:62.67,H,68,H,41
2243,1028_IWL_HAP_XX,H,51.71,H,63.71,H,57.22
2249,1028_ITH_HAP_XX,N,60.86,H,69.5,H,65.11
2255,1028_DFA_HAP_XX,N,61,H,53.75,H,70.33
2261,1028_ITS_HAP_XX,H,50.56,H,85.3,H,74.2
2267,1028_TSI_HAP_XX,F,56.83,H,62.78,H,58.5
2273,1028_WSI_HAP_XX,H,58.17,H,63,H,61.8
2279,1029_IEO_HAP_LO,N,66.4,H,75.2,H,76
2280,1029_IEO_HAP_MD,A,57.33,H,79.55,H,74.6
2281,1029_IEO_HAP_HI,H,48.8,H,81.4,H,85.86
2295,1029_TIE_HAP_XX,N,63.8,H,74.4,H,70.22
2301,1029_IOM_HAP_XX,N,54.14,H,84.25,H,79.22
2307,1029_IWW_HAP_XX,N,80.2,H,70.11,H,44.7
2313,1029_TAI_HAP_XX,N,79.25,H,67.55,H,77.9
2319,1029_MTI_HAP_XX,H,61.17,H,82.33,H,80.73
2325,1029_IWL_HAP_XX,H,54.8,H,83.9,H,79.44
2331,1029_ITH_HAP_XX,H,67.88,H,84.78,H,67.22
2337,1029_DFA_HAP_XX,H,64.5,H,77.25,H,72.38
2343,1029_ITS_HAP_XX,H,66,H,80.5,H,77.5
2349,1029_TSI_HAP_XX,H,67.29,H,71.38,H,85.1
2355,1029_WSI_HAP_XX,H:N,54.00:94.33,H,78.6,H,58.56
2361,1030_IEO_HAP_LO,N,58.25,H,59,H,58.5
2362,1030_IEO_HAP_MD,N,49,H,71.67,H,74.2
2363,1030_IEO_HAP_HI,H,75.67,H,80.11,H,87.7
2377,1030_TIE_HAP_XX,N,61.14,H,60.25,H,40.5
2383,1030_IOM_HAP_XX,N,77,H,69.44,H,54.89
2389,1030_IWW_HAP_XX,D,59.5,H,76.5,H,75.1
2395,1030_TAI_HAP_XX,H:N,66.8:53.4,H,75.9,H,65
2401,1030_MTI_HAP_XX,N,58.33,H,73.67,H,72.43
2407,1030_IWL_HAP_XX,N,48.2,H,72.27,H,56.45
2413,1030_ITH_HAP_XX,H,62.5,H,80.7,H,79.3
2419,1030_DFA_HAP_XX,H,73.83,H,71.73,H,81
2425,1030_ITS_HAP_XX,N,67.14,H,67.22,H,77.43
2431,1030_TSI_HAP_XX,H,36.33,H,75.44,H,80.14
2437,1030_WSI_HAP_XX,A,49.5,H,69.56,H,51.67
2445,1031_IEO_HAP_HI,H:N,47.33:60.33,H,81.33,H,72.38
2489,1031_IWL_HAP_XX,N,73.25,H,51.8,H,48.83
2513,1031_TSI_HAP_XX,H,30.25,H,67.44,H,69.6
2519,1031_WSI_HAP_XX,N,60.86,H,59.6,H,42.38
