1,1001_IEO_NEU_XX,N,69.1,N,92.22,N,64.78
2215,1028_TIE_ANG_XX,A,82.22,A,85.88,A,84.67
2287,1029_IEO_ANG_HI,A,96.8,A,89.9,A,92
2293,1029_IEO_DIS_HI,A,91.22,D,77,D,76.25
2297,1029_TIE_ANG_XX,A,76.89,A,73.5,A,87.1
2315,1029_TAI_ANG_XX,A,80.62,A,55.57,A,71.11
2321,1029_MTI_ANG_XX,A,80.14,A,73.5,A,84.56
2327,1029_IWL_ANG_XX,A,83,A,77,A,78.4
2357,1029_WSI_ANG_XX,A,92.67,A,80.2,A,86.2
2369,1030_IEO_ANG_HI,A,88.11,A,86.56,A,83.71
2451,1031_IEO_ANG_HI,A,90.57,A,83.62,A,69
2615,1033_IEO_ANG_HI,A,83.56,A,77.57,A,86.7
2625,1033_TIE_ANG_XX,A,80.89,A,61.89,A,89.2
2697,1034_IEO_ANG_HI,A,75.57,A,75.38,A,75.33
2700,1034_IEO_FEA_HI,A,80.57,A,48,A,62.12
2782,1035_IEO_FEA_HI,A,82,F,51.62,F,63.14
2861,1036_IEO_ANG_HI,A,81.29,A,81,A,84.33
2867,1036_IEO_DIS_HI,A,78.83,S,79.2,D,71.5
2901,1036_IWL_ANG_XX,A,85.67,A,70.83,A,71.1
2913,1036_DFA_ANG_XX,A,77.7,A,79.62,A,76.8
2931,1036_WSI_ANG_XX,A,85,A,88.6,A,75.22
2943,1037_IEO_ANG_HI,A,78.33,A,88,A,88.56
2953,1037_TIE_ANG_XX,A,82.67,A,81,A,82.8
2959,1037_IOM_ANG_XX,A,77.67,A,83,A,77.44
2965,1037_IWW_ANG_XX,A,82.5,A,86.25,A,75.57
2971,1037_TAI_ANG_XX,A,77.86,A,70.33,A,78.2
3025,1038_IEO_ANG_HI,A,86.57,A,77.71,A,89
3083,1038_ITS_ANG_XX,A,77.8,A,79.14,A,72.62
3117,1039_TIE_ANG_XX,A,85.88,A,76.8,A,78.11
3123,1039_IOM_ANG_XX,A,75.11,A,68,A,90.8
3129,1039_IWW_ANG_XX,A,81.1,A,81.5,A,83.62
3153,1039_ITH_ANG_XX,A,89.22,A,70.36,A,74.88
3177,1039_WSI_ANG_XX,A,82.75,A,78.71,A,78.22
3189,1040_IEO_ANG_HI,A,86.2,A,76.7,A,89.7
3293,1041_IWW_ANG_XX,A,79.89,A,81.6,A,85.25
3305,1041_MTI_ANG_XX,A,79.17,A,56.57,A,78.29
3341,1041_WSI_ANG_XX,A,77.67,A,73.3,A,71.78
3353,1042_IEO_ANG_HI,A,82.75,A,77.1,A,84.6
3435,1043_IEO_ANG_HI,A,83.33,A,75.5,A,65.8
3517,1044_IEO_ANG_HI,A,92.62,A,93.5,A,85.5
3763,1047_IEO_ANG_HI,A,79,A,87.83,A,70.12
3771,1047_TIE_HAP_XX,A,86.25,H,86.89,H,77
3845,1048_IEO_ANG_HI,A,77.09,A,85.3,A,88.6
3897,1048_DFA_ANG_XX,A,79.12,D:F:N,47:40:88,A,57.56
3927,1049_IEO_ANG_HI,A,76,A,70.67,A,68.3
3937,1049_TIE_ANG_XX,A,75.62,A,58.25,A,78.25
4003,1050_IEO_HAP_HI,A,87,H,91.11,H,77.56
4009,1050_IEO_ANG_HI,A,87.86,A,91.5,A,85
4012,1050_IEO_FEA_HI,A,96,A,87,F,81.14
4019,1050_TIE_ANG_XX,A,79.44,A,80.56,A,76.5
4037,1050_TAI_ANG_XX,A,84.38,A,89.62,A,84.6
4043,1050_MTI_ANG_XX,A,87.78,A,84.3,A,81.75
4049,1050_IWL_ANG_XX,A,89.1,A,76.9,A,88.6
4055,1050_ITH_ANG_XX,A,87.25,A,88,A,87.12
4061,1050_DFA_ANG_XX,A,84.12,A,81.75,A,83.56
4067,1050_ITS_ANG_XX,A,83.11,A,87.8,A,82.5
4073,1050_TSI_ANG_XX,A,80.88,A,81,A,81
4079,1050_WSI_ANG_XX,A,81.89,A,94.33,A,90.14
4173,1052_IEO_ANG_HI,A,81.11,A,80.22,A,77.33
4183,1052_TIE_ANG_XX,A,88.22,A,78.67,A,73.4
4207,1052_MTI_ANG_XX,A,76,A,86.57,A,76.88
4225,1052_DFA_ANG_XX,A,84,A,73.67,A,84.89
4255,1053_IEO_ANG_HI,A,93.11,A,86,A,88.33
4283,1053_TAI_ANG_XX,A,75.86,A,84.7,A,81.8
4337,1054_IEO_ANG_HI,A,82,A,71.4,A,84.89
4359,1054_IWW_ANG_XX,A,79.62,A,74.5,A,72.14
4419,1055_IEO_ANG_HI,A,91,A,82.25,A,89.22
4459,1055_IWL_ANG_XX,A,76.29,A,74.67,A,64.86
4471,1055_DFA_ANG_XX,A,90.29,A,74.22,A,82
4501,1056_IEO_ANG_HI,A,85.14,A,70.33,A,90.22
4583,1057_IEO_ANG_HI,A,92.5,A,84.86,A,79.89
4593,1057_TIE_ANG_XX,A,80.2,A,76,A,78.1
4647,1057_TSI_ANG_XX,A,76.25,A,61.67,A,59.17
4665,1058_IEO_ANG_HI,A,82.38,A,92.4,A,93.5
4693,1058_TAI_ANG_XX,A,82.5,A,63.12,A,64.5
4705,1058_IWL_ANG_XX,A,85.5,A,71.11,A,77.86
4747,1059_IEO_ANG_HI,A,80,A,87.4,A,91.2
4750,1059_IEO_FEA_HI,A,76.29,F,59.5,F,58.62
4757,1059_TIE_ANG_XX,A,90.33,A,82.5,A,85.5
4763,1059_IOM_ANG_XX,A,81.75,A,77.22,A,82.5
4775,1059_TAI_ANG_XX,A,75,A,77,A,82.88
4781,1059_MTI_ANG_XX,A,79.6,A,78.67,A,82.12
4793,1059_ITH_ANG_XX,A,87.75,A,78.8,A,80.44
4799,1059_DFA_ANG_XX,A,76,A,67.8,A,80.71
4811,1059_TSI_ANG_XX,A,81.11,A,82.11,A,85
4817,1059_WSI_ANG_XX,A,80.14,A,71.62,A,83
4893,1060_TSI_ANG_XX,A,75.5,A,64.57,A,58.33
4911,1061_IEO_ANG_HI,A,85.5,A,97.67,A,91.3
4945,1061_MTI_ANG_XX,A,97.17,A,90.56,A,83.78
5045,1062_DFA_ANG_XX,A,83,F,45.8,A,52.57
5075,1063_IEO_ANG_HI,A,82.56,A,93.3,A,81.33
5145,1063_WSI_ANG_XX,A,76.62,A,65.11,A,70.3
5156,1064_IEO_ANG_MD,A,75.67,A,65.43,A,80.56
5157,1064_IEO_ANG_HI,A,92.56,A,86.27,A,96.2
5167,1064_TIE_ANG_XX,A,89.78,A,78.12,A,86.33
5173,1064_IOM_ANG_XX,A,89.33,A,86.89,A,78.56
5179,1064_IWW_ANG_XX,A,86.71,A,62.5,A,72
5185,1064_TAI_ANG_XX,A,81.67,A,93.1,A,79
5209,1064_DFA_ANG_XX,A,85.83,A,78.5,A,93.6
5221,1064_TSI_ANG_XX,A,79.83,A,74.62,A,83
5239,1065_IEO_ANG_HI,A,83.6,A,91.89,A,86
5261,1065_IWW_ANG_XX,A,75.43,D,70.33,A,71
5391,1066_WSI_ANG_XX,A,80.38,A,62.67,A,62.5
5473,1067_WSI_ANG_XX,A,84.75,A,66.38,A,77.5
5484,1068_IEO_ANG_MD,A,79.29,A,46.5,A,83.5
5485,1068_IEO_ANG_HI,A,88.71,A,83.62,A,84.1
5567,1069_IEO_ANG_HI,A,76.33,A,79.14,A,87.44
5577,1069_TIE_ANG_XX,A,76.78,A,87.33,A,73.67
5601,1069_MTI_ANG_XX,A,78.5,A,77.1,A,90.22
5637,1069_WSI_ANG_XX,A,87,A,77.6,A,75.8
5677,1070_TAI_ANG_XX,A,79.86,A,55.86,A,60.83
5701,1070_DFA_ANG_XX,A,83,A,37,A,67.14
5719,1070_WSI_ANG_XX,A,75,D,64.17,A,74.2
5818,1072_IEO_DIS_MD,A,81.14,A,70.75,A,65.4
5823,1072_TIE_ANG_XX,A,81.43,A,84.6,A,74.44
5841,1072_TAI_ANG_XX,A,76.29,A,71,A,81.88
5977,1074_IEO_ANG_HI,A,85.5,A,85.1,A,89.22
5987,1074_TIE_ANG_XX,A,78.2,A,82.9,A,90.43
5993,1074_IOM_ANG_XX,A,75.67,A,76.11,A,79
6011,1074_MTI_ANG_XX,A,75.86,A,67.6,A,71.86
6041,1074_TSI_ANG_XX,A,83.38,A,67.88,A,78.5
6222,1077_IEO_ANG_HI,A,92.12,A,81.8,A,87.1
6304,1078_IEO_ANG_HI,A,93.88,A,95.12,A,82.4
6356,1078_DFA_ANG_XX,A,75.78,A,68.78,A,79.67
6362,1078_ITS_ANG_XX,A,78.62,A,79.9,A,78.11
6374,1078_WSI_ANG_XX,A,75.7,A,86.44,A,71
6386,1079_IEO_ANG_HI,A,94.89,A,79.8,A,82.2
6396,1079_TIE_ANG_XX,A,81.67,A,62,A,78.4
6468,1080_IEO_ANG_HI,A,78.83,A,62.57,A,76.78
6496,1080_TAI_ANG_XX,A,85.14,D,60.67,A,64.5
6508,1080_IWL_ANG_XX,A,80.11,A,49.17,A,62.89
6526,1080_ITS_ANG_XX,A,79,H,57.33,A,68.33
6538,1080_WSI_ANG_XX,A,85.9,A,64.8,A,87
6549,1081_IEO_ANG_MD,A,79,A,50.17,A:D,57.25:48.00
6596,1081_ITH_ANG_XX,A,76.4,A,68.3,A,86.1
6632,1082_IEO_ANG_HI,A,76.88,A,77.56,A,85.7
6708,1083_IEO_HAP_HI,A,77,H,77.12,H,78.29
6878,1085_IEO_ANG_HI,A,83.78,A,77,A,76.64
6930,1085_DFA_ANG_XX,A,78,A,45.8,A,68.89
6948,1085_WSI_ANG_XX,A,84.1,A,60.2,A,83.7
6960,1086_IEO_ANG_HI,A,84.25,A,71.2,A,89.75
7030,1086_WSI_ANG_XX,A,86.6,A,73.91,A,82.56
7042,1087_IEO_ANG_HI,A,84.67,A,73.1,A,82.5
7124,1088_IEO_ANG_HI,A,92.11,A,83.4,A,89.89
7216,1089_TIE_ANG_XX,A,84.44,A,73.71,A,83.9
7370,1091_IEO_ANG_HI,A,84.45,A,77,A,86.22
