1,1001_IEO_NEU_XX,N,69.1,N,92.22,N,64.78
1153,1015_TIE_HAP_XX,N,79.75,H,76,H,69.78
1171,1015_TAI_HAP_XX,H,62,H,75.2,H,71.71
1235,1016_TIE_HAP_XX,H:N,41:77,H,76.22,H,55.5
1277,1016_DFA_HAP_XX,N,74.8,H,79,H,69.56
1405,1018_IOM_HAP_XX,N,72.83,H,87.22,H,74.25
1411,1018_IWW_HAP_XX,N,52.25,H,76,H,52.88
1417,1018_TAI_HAP_XX,F:N,49.00:66.25,H,76.33,H,77
1429,1018_IWL_HAP_XX,A:N,34.25:44.00,H,76.4,H,80
1453,1018_TSI_HAP_XX,N,55.75,H,88.29,H,63.89
1466,1019_IEO_HAP_MD,N,84.33,H,77.4,H,72.88
1467,1019_IEO_HAP_HI,N,75.67,H,81.57,H,68.6
1511,1019_IWL_HAP_XX,N,64.67,H,75.38,H,68.56
1542,1020_IEO_HAP_MD,H,64.25,H,80.27,H,79.6
1543,1020_IEO_HAP_HI,S,68.29,H,82,H,74.1
1557,1020_TIE_HAP_XX,H,68.8,H,82.43,H,62.7
1563,1020_IOM_HAP_XX,H:N,38.75:56.25,H,82.12,H,65.3
1575,1020_TAI_HAP_XX,F:H,72.33:50.00,H,77.67,H,75.1
1587,1020_IWL_HAP_XX,H,73.67,H,80,H,63.5
1611,1020_TSI_HAP_XX,D,45,H,80.5,H,64
1625,1021_IEO_HAP_HI,D,47.2,H,75.57,H,76
1645,1021_IOM_HAP_XX,N,76.67,H,79.8,H,72.4
1651,1021_IWW_HAP_XX,N,45.5,H,75.11,H,72.78
1657,1021_TAI_HAP_XX,H,59.5,H,84.22,H,47.88
1663,1021_MTI_HAP_XX,N,55.6,H,76.33,H,46.71
1687,1021_ITS_HAP_XX,N,62.67,H,83.55,H,56.7
1693,1021_TSI_HAP_XX,N,67.6,H,82.11,H,67.33
1699,1021_WSI_HAP_XX,N,56.17,H,80.27,H,72.5
1707,1022_IEO_HAP_HI,N,75.6,H,88.29,H,85.62
1721,1022_TIE_HAP_XX,N,74,H,89.78,H,66
1727,1022_IOM_HAP_XX,N,58.2,H,80.56,H,75.18
1733,1022_IWW_HAP_XX,H:N,51.67:82.00,H,86.33,H,68.1
1739,1022_TAI_HAP_XX,H,57.67,H,76.88,H,70.8
1745,1022_MTI_HAP_XX,N,67,H,81.9,H,56.33
1757,1022_ITH_HAP_XX,N,72.43,H,81.44,H,71.62
1763,1022_DFA_HAP_XX,H,62.17,H,81.5,H,72.11
1769,1022_ITS_HAP_XX,D,45.83,H,81.56,H,72.2
1775,1022_TSI_HAP_XX,N,78,H,88.4,H,77.4
1781,1022_WSI_HAP_XX,H,55.25,H,76.7,H,79.56
1787,1023_IEO_HAP_LO,H,66.33,H,82.22,H,69.56
1788,1023_IEO_HAP_MD,N,56.62,H,85.7,H,72.75
1789,1023_IEO_HAP_HI,H,74.4,H,82.3,H,85.57
1803,1023_TIE_HAP_XX,H,53.43,H,83.38,H,70.8
1809,1023_IOM_HAP_XX,H,51.71,H,77.3,H,67.6
1839,1023_ITH_HAP_XX,N,48.5,H,80.1,H,68.5
1951,1025_IEO_HAP_LO,H,71.4,H,89,H,58.4
1953,1025_IEO_HAP_HI,A:H,58.00:57.67,H,81.2,H,73.8
1973,1025_IOM_HAP_XX,H,59.89,H,75.86,H,64.8
2034,1026_IEO_HAP_MD,N,73,H,82.12,H,67.57
2055,1026_IOM_HAP_XX,H,36.8,H,77.43,H,50.27
2061,1026_IWW_HAP_XX,N,39.75,H,76.89,H,55.43
2067,1026_TAI_HAP_XX,N,59.4,H,75.5,H,73.5
2085,1026_ITH_HAP_XX,N,67,H,81.1,H,76.7
2091,1026_DFA_HAP_XX,N,80.83,H,87.9,H,69.62
2103,1026_TSI_HAP_XX,D:H,56.33:71.67,H,82,H,75.56
2109,1026_WSI_HAP_XX,N,59.83,H,79.5,H,71.62
2117,1027_IEO_HAP_HI,F,68,H,83.88,H,66.67
2143,1027_IWW_HAP_XX,N,45.2,H,79.78,H,69
2161,1027_IWL_HAP_XX,N,63.33,H,75.29,H,57.75
2167,1027_ITH_HAP_XX,N,43,H,76,H,48
2179,1027_ITS_HAP_XX,H,55.6,H,75.4,H,52.2
2185,1027_TSI_HAP_XX,F,58.5,H,77.44,H,51
2219,1028_IOM_HAP_XX,H,35.2,H,86.22,H,72
2225,1028_IWW_HAP_XX,H,59.67,H,77.88,H,70
2261,1028_ITS_HAP_XX,H,50.56,H,85.3,H,74.2
2279,1029_IEO_HAP_LO,N,66.4,H,75.2,H,76
2280,1029_IEO_HAP_MD,A,57.33,H,79.55,H,74.6
2281,1029_IEO_HAP_HI,H,48.8,H,81.4,H,85.86
2301,1029_IOM_HAP_XX,N,54.14,H,84.25,H,79.22
2319,1029_MTI_HAP_XX,H,61.17,H,82.33,H,80.73
2325,1029_IWL_HAP_XX,H,54.8,H,83.9,H,79.44
2331,1029_ITH_HAP_XX,H,67.88,H,84.78,H,67.22
2337,1029_DFA_HAP_XX,H,64.5,H,77.25,H,72.38
2343,1029_ITS_HAP_XX,H,66,H,80.5,H,77.5
2355,1029_WSI_HAP_XX,H:N,54.00:94.33,H,78.6,H,58.56
2363,1030_IEO_HAP_HI,H,75.67,H,80.11,H,87.7
2389,1030_IWW_HAP_XX,D,59.5,H,76.5,H,75.1
2395,1030_TAI_HAP_XX,H:N,66.8:53.4,H,75.9,H,65
2413,1030_ITH_HAP_XX,H,62.5,H,80.7,H,79.3
2431,1030_TSI_HAP_XX,H,36.33,H,75.44,H,80.14
2445,1031_IEO_HAP_HI,H:N,47.33:60.33,H,81.33,H,72.38
2609,1033_IEO_HAP_HI,H,56,H,76.62,H,81.8
2653,1033_IWL_HAP_XX,N,71.57,H,79.33,H,59.14
2659,1033_ITH_HAP_XX,N,54.6,H,79.75,H,71.9
2759,1034_TSI_HAP_XX,F,53.6,H,75.4,H,57.71
2771,1035_IEO_HAP_LO,H,70,H,83,H,73.1
2772,1035_IEO_HAP_MD,A:D:N,55:64:62,H,75.38,H,77.67
2829,1035_DFA_HAP_XX,H,58.5,H,80.33,H,72
2841,1035_TSI_HAP_XX,H,73.75,H,78.2,H,71.4
2936,1037_IEO_HAP_MD,N,47.86,H,75.2,H,63.44
2951,1037_TIE_HAP_XX,H,49.14,H,80.22,H,65.1
2957,1037_IOM_HAP_XX,H,46.7,H,77.6,H,69.78
2969,1037_TAI_HAP_XX,H,65,H,82.43,H,82
2975,1037_MTI_HAP_XX,F,71.17,H,82.2,H,81.43
2981,1037_IWL_HAP_XX,H,51.83,H,80.7,H,64.4
2987,1037_ITH_HAP_XX,H,55.5,H,82.89,H,84.6
2993,1037_DFA_HAP_XX,H:N,71.50:82.25,H,87.9,H,77
2999,1037_ITS_HAP_XX,F,59.6,H,75.56,H,75.33
3005,1037_TSI_HAP_XX,A:F,58:57,H,79,H,79.38
3011,1037_WSI_HAP_XX,H,31.5,H,78.11,H,66
3018,1038_IEO_HAP_MD,H,45,H,88.12,H,86.9
3019,1038_IEO_HAP_HI,H,88,H,88.67,H,78.89
3033,1038_TIE_HAP_XX,H,72.67,H,82.11,H,68.62
3039,1038_IOM_HAP_XX,N,66.75,H,79,H,83.11
3051,1038_TAI_HAP_XX,H,61.67,H,87,H,68.56
3057,1038_MTI_HAP_XX,N,66.4,H,77.89,H,59.88
3063,1038_IWL_HAP_XX,N,57.4,H,79.22,H,68.7
3081,1038_ITS_HAP_XX,H,53.3,H,76.5,H,75.62
3087,1038_TSI_HAP_XX,N,85.75,H,83.44,H,73.44
3101,1039_IEO_HAP_HI,F:H,60.67:55.00,H,81.6,H,83.22
3115,1039_TIE_HAP_XX,H,65.89,H,86.8,H,87.5
3139,1039_MTI_HAP_XX,H,73.75,H,85.44,H,82.11
3182,1040_IEO_HAP_MD,H,57.4,H,76.11,H,65.5
3183,1040_IEO_HAP_HI,S,41.25,H,81.11,H,82.89
3215,1040_TAI_HAP_XX,N,45.14,H,76.89,H,52.89
3265,1041_IEO_HAP_HI,D,98.67,H,85.3,H,62
3397,1042_ITH_HAP_XX,H:N,58.75:61.25,H,76.2,H,62.4
3428,1043_IEO_HAP_MD,H,60.75,H,77.9,H,72.7
3443,1043_TIE_HAP_XX,A,36.6,H,78.57,H,66
3449,1043_IOM_HAP_XX,N,61.5,H,84.22,H,66.44
3473,1043_IWL_HAP_XX,N,60.8,H,79.6,H,80.43
3485,1043_DFA_HAP_XX,H,56.57,H,75.57,H,64
3491,1043_ITS_HAP_XX,H:N,28.50:84.75,H,77.67,H,67.43
3497,1043_TSI_HAP_XX,H,52.4,H,78.89,H,74.89
3503,1043_WSI_HAP_XX,N,54.5,H,77.43,H,73
3555,1044_IWL_HAP_XX,N,59.86,H,77,H,66.25
3561,1044_ITH_HAP_XX,N,53.4,H,76,H,62.2
3585,1044_WSI_HAP_XX,A:D,39.5:51.0,H,80.44,H,71.44
3593,1045_IEO_HAP_HI,N,64.86,H,77.67,H,72.14
3607,1045_TIE_HAP_XX,N,66.75,H,75.33,H,66.5
3737,1046_ITS_HAP_XX,H,71.67,H,82.3,H,66
3743,1046_TSI_HAP_XX,N,67.4,H,80.2,H,34.67
3755,1047_IEO_HAP_LO,N,75.33,H,89.6,H,76.44
3757,1047_IEO_HAP_HI,A,57.33,H,77,H,66.57
3771,1047_TIE_HAP_XX,A,86.25,H,86.89,H,77
3777,1047_IOM_HAP_XX,H,64.33,H,84,H,67.56
3783,1047_IWW_HAP_XX,H,57.25,H,75.8,H,81.6
3795,1047_MTI_HAP_XX,N,57.83,H,84.38,H,80
3801,1047_IWL_HAP_XX,A,36.4,H,77.1,H,62
3807,1047_ITH_HAP_XX,N,62,H,75.64,H,80.38
3825,1047_TSI_HAP_XX,F,50.67,H,80.22,H,64
3919,1049_IEO_HAP_LO,N,47,H,77.89,H,77.5
3920,1049_IEO_HAP_MD,H,78.62,H,84.86,H,90.88
3921,1049_IEO_HAP_HI,A:H:N,43.5:35.5:47.5,H,76.9,H,88.3
3935,1049_TIE_HAP_XX,H,51.17,H,79.1,H,89.2
3941,1049_IOM_HAP_XX,H:N,74.00:61.67,H,82.86,H,72.91
3947,1049_IWW_HAP_XX,H,66,H,82.11,H,71.2
3953,1049_TAI_HAP_XX,F,43.2,H,79.1,H,77.22
3959,1049_MTI_HAP_XX,H,61.25,H,88.11,H,70.1
3965,1049_IWL_HAP_XX,H,74.75,H,76.71,H,86.4
3971,1049_ITH_HAP_XX,H,64.8,H,78,H,86.86
3977,1049_DFA_HAP_XX,H,61.17,H,89.5,H,76.89
3983,1049_ITS_HAP_XX,H,81.56,H,82.11,H,86.3
3989,1049_TSI_HAP_XX,F,82.5,H,88,H,85
3995,1049_WSI_HAP_XX,H,68.43,H,86.8,H,78.56
4002,1050_IEO_HAP_MD,D,74.75,H,83,H,77.5
4003,1050_IEO_HAP_HI,A,87,H,91.11,H,77.56
4017,1050_TIE_HAP_XX,N,63.57,H,79.5,H,68.33
4029,1050_IWW_HAP_XX,D,36.67,H,75.6,H,38.71
4053,1050_ITH_HAP_XX,N,62.43,H,79.89,H,47.29
4059,1050_DFA_HAP_XX,D:N,53.67:48.67,H,79.5,H,63.38
4065,1050_ITS_HAP_XX,H,43.25,H,86.5,H,84.78
4071,1050_TSI_HAP_XX,N,64.25,H,80.9,H,60.44
4077,1050_WSI_HAP_XX,A,49.8,H,86.78,H,86.14
4085,1051_IEO_HAP_HI,N,57.5,H,80,H,74.88
4099,1051_TIE_HAP_XX,N,69.86,H,76.22,H,67.75
4135,1051_ITH_HAP_XX,N,60.44,H,76.11,H,65.8
4165,1052_IEO_HAP_LO,N,48.12,H,79.11,H,76.5
4166,1052_IEO_HAP_MD,N,57.71,H,76.33,H,78.27
4167,1052_IEO_HAP_HI,H,49.25,H,76.7,H,91.27
4187,1052_IOM_HAP_XX,H:N,55:48,H,80.22,H,66.33
4199,1052_TAI_HAP_XX,F,79.86,H,90.11,H,89.9
4211,1052_IWL_HAP_XX,N,56.17,H,80.89,H,67.75
4217,1052_ITH_HAP_XX,N,69.5,H,81.11,H,73
4223,1052_DFA_HAP_XX,N,66.6,H,86.2,H,63.78
4229,1052_ITS_HAP_XX,H,73.2,H,77.89,H,68.44
4235,1052_TSI_HAP_XX,N,65.25,H,86.3,H,61.12
4248,1053_IEO_HAP_MD,N,62.25,H,81.75,H,75.1
4249,1053_IEO_HAP_HI,F,61.29,H,84.7,H,84.3
4263,1053_TIE_HAP_XX,N,79.5,H,88.88,H,90.11
4269,1053_IOM_HAP_XX,H,52.62,H,82.44,H,66.62
4275,1053_IWW_HAP_XX,H,58.25,H,86.29,H,70.56
4293,1053_IWL_HAP_XX,N,65.5,H,81.89,H,78.88
4299,1053_ITH_HAP_XX,F,81.5,H,84.3,H,65.78
4305,1053_DFA_HAP_XX,N,66.67,H,83.82,H,79.89
4311,1053_ITS_HAP_XX,H,55.4,H,75.56,H,82.8
4317,1053_TSI_HAP_XX,A,51.5,H,78.11,H,68.5
4323,1053_WSI_HAP_XX,A,34.4,H,86.75,H,61.25
4330,1054_IEO_HAP_MD,D,39.75,H,78.25,H,77.9
4331,1054_IEO_HAP_HI,F:H,67.75:71.25,H,80,H,74.8
4345,1054_TIE_HAP_XX,H,38.2,H,76.88,H,74.7
4351,1054_IOM_HAP_XX,N,69.67,H,77.44,H,58.38
4363,1054_TAI_HAP_XX,H,56.83,H,76,H,72.11
4369,1054_MTI_HAP_XX,S,48,H,81.12,H,67.67
4375,1054_IWL_HAP_XX,H:N,43.6:72.4,H,77.89,H,68.1
4387,1054_DFA_HAP_XX,H,49.17,H,85.64,H,66.64
4393,1054_ITS_HAP_XX,H,73.57,H,76.6,H,75
4399,1054_TSI_HAP_XX,F,56.38,H,78.36,H,58.22
4405,1054_WSI_HAP_XX,N,53.75,H,81.7,H,71.3
4412,1055_IEO_HAP_MD,N,75.6,H,79.1,H,74.78
4413,1055_IEO_HAP_HI,F,84.38,H,84.12,H,83.71
4427,1055_TIE_HAP_XX,N,87.67,H,81.38,H,69
4445,1055_TAI_HAP_XX,N,58.83,H,84.11,H,61.11
4475,1055_ITS_HAP_XX,N,56.17,H,81.3,H,62.4
4481,1055_TSI_HAP_XX,H,50.75,H,83.22,H,82.2
4487,1055_WSI_HAP_XX,A:H,58.67:63.67,H,82.11,H,62.22
4494,1056_IEO_HAP_MD,H,59,H,82,H,81.67
4495,1056_IEO_HAP_HI,H,50.67,H,85,H,84.14
4551,1056_DFA_HAP_XX,H,64.14,H,75.86,H,52.14
4563,1056_TSI_HAP_XX,D,39.25,H,75.75,H,61.3
4576,1057_IEO_HAP_MD,N,38.4,H,78.2,H,70.22
4577,1057_IEO_HAP_HI,F,79.67,H,87.1,H,82
4591,1057_TIE_HAP_XX,A,54.22,H,81.86,H,76.43
4597,1057_IOM_HAP_XX,N,59.43,H,75.33,H,82.1
4609,1057_TAI_HAP_XX,F,39,H,80.2,H,85.33
4621,1057_IWL_HAP_XX,A,70.14,H,79.56,H,60.27
4633,1057_DFA_HAP_XX,N,73.57,H,75.78,H,63.67
4645,1057_TSI_HAP_XX,F,56,H,75.67,H,64.71
4659,1058_IEO_HAP_HI,F,66.25,H,84.09,H,83.5
4673,1058_TIE_HAP_XX,A,57.6,H,81.3,H,70.56
4679,1058_IOM_HAP_XX,N,54.6,H,79.9,H,77.25
4685,1058_IWW_HAP_XX,F,54.33,H,75.3,H,72.22
4697,1058_MTI_HAP_XX,N,80.5,H,79.67,H,76.5
4703,1058_IWL_HAP_XX,H,59,H,87.9,H,82.1
4709,1058_ITH_HAP_XX,N,49.33,H,84.67,H,75
4715,1058_DFA_HAP_XX,N,71.25,H,75.78,H,71.25
4721,1058_ITS_HAP_XX,H,49.67,H,86.2,H,72.56
4727,1058_TSI_HAP_XX,F:H,54.67:58.00,H,76,H,59.33
4733,1058_WSI_HAP_XX,A,65.83,H,89.4,H,72.62
4740,1059_IEO_HAP_MD,H,61.86,H,79.82,H,86.33
4741,1059_IEO_HAP_HI,H,83.33,H,86.89,H,79.56
4755,1059_TIE_HAP_XX,A,73,H,79.6,H,74.2
4761,1059_IOM_HAP_XX,N,75.6,H,81.62,H,77.1
4791,1059_ITH_HAP_XX,H:N,38.75:66.75,H,78.78,H,81.38
4822,1060_IEO_HAP_MD,H,57,H,75.22,H,57
4873,1060_ITH_HAP_XX,N,71.5,H,77.56,H,74.11
4903,1061_IEO_HAP_LO,N,64.12,H,82.38,H,78.67
4904,1061_IEO_HAP_MD,H:N,68.25:67.00,H,84.33,H,74.11
4905,1061_IEO_HAP_HI,H,40.8,H,83.4,H,81.33
4925,1061_IOM_HAP_XX,N,73,H,85.38,H,70
4931,1061_IWW_HAP_XX,N,67.2,H,76.89,H,72
4937,1061_TAI_HAP_XX,N,55.25,H,80.4,H,64.67
4943,1061_MTI_HAP_XX,N,43.75,H,80.5,H,57
4955,1061_ITH_HAP_XX,N,63.44,H,78.11,H,59
4961,1061_DFA_HAP_XX,H,47.89,H,78.5,H,75.5
4967,1061_ITS_HAP_XX,H,51,H,78.8,H,79.67
4973,1061_TSI_HAP_XX,H,35.25,H,84.6,H,60.5
4979,1061_WSI_HAP_XX,H,44.8,H,79.8,H,61.89
5067,1063_IEO_HAP_LO,H,65.14,H,83,H,74.1
5068,1063_IEO_HAP_MD,F,76,H,76,H,78
5069,1063_IEO_HAP_HI,H,66.78,H,79.89,H,80.56
5107,1063_MTI_HAP_XX,H:N:S,76.67:60.67:72.67,H,79,H,85.22
5131,1063_ITS_HAP_XX,H,64.75,H,80.5,H,66.22
5137,1063_TSI_HAP_XX,F,79.25,H,75.5,H,51.86
5150,1064_IEO_HAP_MD,D,73.67,H,82.4,H,83.44
5151,1064_IEO_HAP_HI,F,51.2,H,87.44,H,67.33
5165,1064_TIE_HAP_XX,H,80.62,H,79.5,H,84.12
5171,1064_IOM_HAP_XX,H,40.5,H,86.6,H,77.4
5177,1064_IWW_HAP_XX,N,44.75,H,80.1,H,59.78
5183,1064_TAI_HAP_XX,N,56.5,H,84.22,H,68.12
5189,1064_MTI_HAP_XX,H,62.33,H,79,H,88.5
5195,1064_IWL_HAP_XX,N,71,H,88.89,H,70.2
5201,1064_ITH_HAP_XX,H,50.33,H,93.7,H,74.22
5207,1064_DFA_HAP_XX,S,49.33,H,84.89,H,61.38
5213,1064_ITS_HAP_XX,H,52.7,H,77.44,H,76.56
5219,1064_TSI_HAP_XX,H,88.5,H,89.4,H,73.33
5232,1065_IEO_HAP_MD,H,80.5,H,76.1,H,67.78
5253,1065_IOM_HAP_XX,N,74.17,H,75,H,68.2
5259,1065_IWW_HAP_XX,H,47.5,H,75.75,H,80.62
5265,1065_TAI_HAP_XX,F,26.67,H,77.33,H,65.14
5271,1065_MTI_HAP_XX,H,52.5,H,81.86,H,68.5
5283,1065_ITH_HAP_XX,F,65.25,H,81.11,H,75.25
5289,1065_DFA_HAP_XX,N,60.57,H,75.25,H,69
5314,1066_IEO_HAP_MD,N,79.62,H,82.25,H,62.12
5396,1067_IEO_HAP_MD,N,72.33,H,84.11,H,66.5
5397,1067_IEO_HAP_HI,H,69.67,H,79.86,H,89.11
5441,1067_IWL_HAP_XX,N,35.4,H,78,H,69.5
5459,1067_ITS_HAP_XX,N,63.25,H,81,H,74.2
5465,1067_TSI_HAP_XX,N,65.4,H,75.1,H,72.25
5471,1067_WSI_HAP_XX,N,45.33,H,79.2,H,53.5
5479,1068_IEO_HAP_HI,A,51.78,H,79.91,H,84.38
5493,1068_TIE_HAP_XX,A,62.38,H,76.5,H,65.2
5499,1068_IOM_HAP_XX,N,79,H,78.62,H,83.7
5505,1068_IWW_HAP_XX,H,52.8,H,78.22,H,87.86
5511,1068_TAI_HAP_XX,D,54,H,76.25,H,86.3
5529,1068_ITH_HAP_XX,N,78.25,H,76.44,H,85.11
5541,1068_ITS_HAP_XX,N,65.33,H,80.5,H,64.22
5560,1069_IEO_HAP_MD,H,63.4,H,82.67,H,71
5575,1069_TIE_HAP_XX,N,51.5,H,81.89,H,65.33
5605,1069_IWL_HAP_XX,H,73.4,H,78.3,H,82
5629,1069_TSI_HAP_XX,D,35.4,H,83.67,H,75.44
5806,1072_IEO_HAP_MD,N,80.83,H,82.88,H,75.78
5807,1072_IEO_HAP_HI,F,45.25,H,88.1,H,84.43
5821,1072_TIE_HAP_XX,H,53.2,H,89.4,H,79.2
5827,1072_IOM_HAP_XX,F:N,67.00:68.33,H,79.88,H,71.27
5833,1072_IWW_HAP_XX,H,53.4,H,87.88,H,84.33
5839,1072_TAI_HAP_XX,H,56.29,H,79,H,73.2
5845,1072_MTI_HAP_XX,H,64.57,H,81.11,H,72.78
5857,1072_ITH_HAP_XX,H,65.75,H,90.3,H,77.7
5863,1072_DFA_HAP_XX,D:H:N,43.5:86.0:45.5,H,90.5,H,80.44
5869,1072_ITS_HAP_XX,H,73.38,H,80.12,H,73.9
5875,1072_TSI_HAP_XX,H,73.67,H,76,H,82.9
5881,1072_WSI_HAP_XX,N,58.43,H,81,H,67.91
5888,1073_IEO_HAP_MD,N,57.3,H,77.22,H,66.3
5889,1073_IEO_HAP_HI,N,72.12,H,87.33,H,77.3
5903,1073_TIE_HAP_XX,N,65.8,H,78.29,H,52.22
5909,1073_IOM_HAP_XX,N,50.88,H,75.2,H,66.73
5921,1073_TAI_HAP_XX,N,86.6,H,76.38,H,71
5933,1073_IWL_HAP_XX,N,72,H,83.67,H,58.55
5939,1073_ITH_HAP_XX,N,72.71,H,78.56,H,59.1
5951,1073_ITS_HAP_XX,N,65.75,H,75.78,H,63.75
5957,1073_TSI_HAP_XX,N,66,H,78.17,H,80
