1,1001_IEO_NEU_XX,N,69.1,N,92.22,N,64.78
2251,1028_ITH_ANG_XX,A,61,A,79.44,A,76.29
2257,1028_DFA_ANG_XX,A,67.8,A,78.4,A,81
2263,1028_ITS_ANG_XX,A,70.33,A,78.75,A,78
2269,1028_TSI_ANG_XX,A,68.71,A,88.9,A,66.2
2287,1029_IEO_ANG_HI,A,96.8,A,89.9,A,92
2327,1029_IWL_ANG_XX,A,83,A,77,A,78.4
2357,1029_WSI_ANG_XX,A,92.67,A,80.2,A,86.2
2369,1030_IEO_ANG_HI,A,88.11,A,86.56,A,83.71
2397,1030_TAI_ANG_XX,A,50,A,79.33,A,78.78
2451,1031_IEO_ANG_HI,A,90.57,A,83.62,A,69
2505,1031_DFA_DIS_XX,N,55.4,A,83,D,65.4
2615,1033_IEO_ANG_HI,A,83.56,A,77.57,A,86.7
2697,1034_IEO_ANG_HI,A,75.57,A,75.38,A,75.33
2849,1035_WSI_ANG_XX,A,74.09,A,80,A,84.44
2861,1036_IEO_ANG_HI,A,81.29,A,81,A,84.33
2883,1036_IWW_ANG_XX,A,74,A,86,A,81.83
2889,1036_TAI_ANG_XX,A,73.22,A,84.22,A,78.11
2895,1036_MTI_ANG_XX,A:D,55.67:59.00,A,78.78,A,73.75
2907,1036_ITH_ANG_XX,D,75,A,75.78,A,71.71
2913,1036_DFA_ANG_XX,A,77.7,A,79.62,A,76.8
2919,1036_ITS_ANG_XX,A,65.33,A,80.12,A,69.5
2925,1036_TSI_ANG_XX,A:F,63.4:66.8,A,76.9,A,85.22
2931,1036_WSI_ANG_XX,A,85,A,88.6,A,75.22
2942,1037_IEO_ANG_MD,A,47.2,A,85,A,79.75
2943,1037_IEO_ANG_HI,A,78.33,A,88,A,88.56
2953,1037_TIE_ANG_XX,A,82.67,A,81,A,82.8
2959,1037_IOM_ANG_XX,A,77.67,A,83,A,77.44
2965,1037_IWW_ANG_XX,A,82.5,A,86.25,A,75.57
2977,1037_MTI_ANG_XX,N,85.5,A,78,A,72.75
2983,1037_IWL_ANG_XX,A:D:N,28.00:66.67:58.33,A,82,A,58.14
2995,1037_DFA_ANG_XX,A,53.17,A,82.5,A,66
3013,1037_WSI_ANG_XX,A,52,A,88.14,A,66
3025,1038_IEO_ANG_HI,A,86.57,A,77.71,A,89
3083,1038_ITS_ANG_XX,A,77.8,A,79.14,A,72.62
3107,1039_IEO_ANG_HI,A,73,A,76.22,A,87
3117,1039_TIE_ANG_XX,A,85.88,A,76.8,A,78.11
3129,1039_IWW_ANG_XX,A,81.1,A,81.5,A,83.62
3159,1039_DFA_ANG_XX,A,61.11,A,80.9,A,71.33
3165,1039_ITS_ANG_XX,A:D,65.2:58.0,A,77.57,A,76.4
3177,1039_WSI_ANG_XX,A,82.75,A,78.71,A,78.22
3189,1040_IEO_ANG_HI,A,86.2,A,76.7,A,89.7
3281,1041_TIE_ANG_XX,A,58.09,A,76.38,A,67.44
3293,1041_IWW_ANG_XX,A,79.89,A,81.6,A,85.25
3317,1041_ITH_ANG_XX,A,63,A,80.5,A,78.88
3323,1041_DFA_ANG_XX,A,59.67,A,83.44,A,79.8
3353,1042_IEO_ANG_HI,A,82.75,A,77.1,A,84.6
3435,1043_IEO_ANG_HI,A,83.33,A,75.5,A,65.8
3445,1043_TIE_ANG_XX,A,55.71,A,87.5,A,55.33
3517,1044_IEO_ANG_HI,A,92.62,A,93.5,A,85.5
3518,1044_IEO_FEA_LO,N,70,A,78.83,F,54.6
3522,1044_IEO_DIS_MD,A,74,A,83.2,A,61.25
3527,1044_TIE_ANG_XX,A,47.78,A,82.78,A,76.22
3569,1044_DFA_ANG_XX,A,66.78,A,80.33,A,75.7
3575,1044_ITS_ANG_XX,N,55.2,A,82.25,A,69.25
3587,1044_WSI_ANG_XX,A,67.44,A,76.2,A,81.33
3599,1045_IEO_ANG_HI,A,71.56,A,84.75,A,84.57
3763,1047_IEO_ANG_HI,A,79,A,87.83,A,70.12
3799,1047_MTI_DIS_XX,D,44.75,A,77.86,A,46.86
3845,1048_IEO_ANG_HI,A,77.09,A,85.3,A,88.6
3979,1049_DFA_ANG_XX,A,52.71,A,81.14,A,65.22
4009,1050_IEO_ANG_HI,A,87.86,A,91.5,A,85
4012,1050_IEO_FEA_HI,A,96,A,87,F,81.14
4019,1050_TIE_ANG_XX,A,79.44,A,80.56,A,76.5
4037,1050_TAI_ANG_XX,A,84.38,A,89.62,A,84.6
4043,1050_MTI_ANG_XX,A,87.78,A,84.3,A,81.75
4044,1050_MTI_FEA_XX,F,72.71,A,77,A,47.75
4049,1050_IWL_ANG_XX,A,89.1,A,76.9,A,88.6
4051,1050_IWL_DIS_XX,A,51,A,77.67,A,78.4
4055,1050_ITH_ANG_XX,A,87.25,A,88,A,87.12
4061,1050_DFA_ANG_XX,A,84.12,A,81.75,A,83.56
4067,1050_ITS_ANG_XX,A,83.11,A,87.8,A,82.5
4073,1050_TSI_ANG_XX,A,80.88,A,81,A,81
4079,1050_WSI_ANG_XX,A,81.89,A,94.33,A,90.14
4091,1051_IEO_ANG_HI,A,61.8,A,83.3,A,92.71
4173,1052_IEO_ANG_HI,A,81.11,A,80.22,A,77.33
4183,1052_TIE_ANG_XX,A,88.22,A,78.67,A,73.4
4207,1052_MTI_ANG_XX,A,76,A,86.57,A,76.88
4237,1052_TSI_ANG_XX,F,61.8,A,75.11,A,74.88
4255,1053_IEO_ANG_HI,A,93.11,A,86,A,88.33
4265,1053_TIE_ANG_XX,A,68.71,A,75.12,A,74.33
4277,1053_IWW_ANG_XX,A,59.25,A,77.3,A,69
4283,1053_TAI_ANG_XX,A,75.86,A,84.7,A,81.8
4289,1053_MTI_ANG_XX,A,67.33,A,77.67,A,85.44
4313,1053_ITS_ANG_XX,D,50.75,A,78.57,A,75.5
4319,1053_TSI_ANG_XX,A,63.4,A,79.71,A,67.5
4347,1054_TIE_ANG_XX,D,59.2,A,76.4,A,55
4377,1054_IWL_ANG_XX,N,74.33,A,79.29,A,72
4383,1054_ITH_ANG_XX,F,55.75,A,83.67,A,65.62
4389,1054_DFA_ANG_XX,A,46.5,A,75,A,65.71
4401,1054_TSI_ANG_XX,D,55.2,A,75.22,D,88.5
4407,1054_WSI_ANG_XX,A,65,A,76,A,73.2
4419,1055_IEO_ANG_HI,A,91,A,82.25,A,89.22
4472,1055_DFA_FEA_XX,F,70.5,A,78.8,F,77.5
4477,1055_ITS_ANG_XX,N,61,A,76.12,D,51.83
4583,1057_IEO_ANG_HI,A,92.5,A,84.86,A,79.89
4593,1057_TIE_ANG_XX,A,80.2,A,76,A,78.1
4649,1057_TSI_DIS_XX,N,71.5,A,78.67,D,61.5
4665,1058_IEO_ANG_HI,A,82.38,A,92.4,A,93.5
4675,1058_TIE_ANG_XX,A,67.75,A,85.8,A,56.75
4736,1058_WSI_FEA_XX,A:F,59.5:76.5,A,81.5,F,68.33
4747,1059_IEO_ANG_HI,A,80,A,87.4,A,91.2
4757,1059_TIE_ANG_XX,A,90.33,A,82.5,A,85.5
4763,1059_IOM_ANG_XX,A,81.75,A,77.22,A,82.5
4775,1059_TAI_ANG_XX,A,75,A,77,A,82.88
4781,1059_MTI_ANG_XX,A,79.6,A,78.67,A,82.12
4787,1059_IWL_ANG_XX,A,74.9,A,79.78,A,86.9
4793,1059_ITH_ANG_XX,A,87.75,A,78.8,A,80.44
4805,1059_ITS_ANG_XX,A,67.29,A,77.62,A,87.75
4811,1059_TSI_ANG_XX,A,81.11,A,82.11,A,85
4911,1061_IEO_ANG_HI,A,85.5,A,97.67,A,91.3
4933,1061_IWW_ANG_XX,D,66.4,A,82,A:D,66.4:77.4
4945,1061_MTI_ANG_XX,A,97.17,A,90.56,A,83.78
5075,1063_IEO_ANG_HI,A,82.56,A,93.3,A,81.33
5085,1063_TIE_ANG_XX,A,49.89,A,77.33,A,71.7
5157,1064_IEO_ANG_HI,A,92.56,A,86.27,A,96.2
5167,1064_TIE_ANG_XX,A,89.78,A,78.12,A,86.33
5173,1064_IOM_ANG_XX,A,89.33,A,86.89,A,78.56
5185,1064_TAI_ANG_XX,A,81.67,A,93.1,A,79
5191,1064_MTI_ANG_XX,D,54.2,A,84,A,70.43
5203,1064_ITH_ANG_XX,A:D,69.4:72.4,A,85.3,A,79.12
5209,1064_DFA_ANG_XX,A,85.83,A,78.5,A,93.6
5227,1064_WSI_ANG_XX,A,73.9,A,82.8,A,91.1
5228,1064_WSI_FEA_XX,F,62.5,A,81.38,F,75.8
5239,1065_IEO_ANG_HI,A,83.6,A,91.89,A,86
5285,1065_ITH_ANG_XX,A,57,A,77.14,A,60.43
5309,1065_WSI_ANG_XX,A,66.88,A,75.12,A,79.29
5403,1067_IEO_ANG_HI,A:F,56.33:71.00,A,78.57,A,74.5
5431,1067_TAI_ANG_XX,D,51.25,A,78,A,80.43
5437,1067_MTI_ANG_XX,N,66.4,A,84,A,65.5
5485,1068_IEO_ANG_HI,A,88.71,A,83.62,A,84.1
5495,1068_TIE_ANG_XX,A,52,A,82.75,A,66.43
5501,1068_IOM_ANG_XX,A,37.86,A,77.67,A,74.62
5567,1069_IEO_ANG_HI,A,76.33,A,79.14,A,87.44
5577,1069_TIE_ANG_XX,A,76.78,A,87.33,A,73.67
5601,1069_MTI_ANG_XX,A,78.5,A,77.1,A,90.22
5637,1069_WSI_ANG_XX,A,87,A,77.6,A,75.8
5741,1071_TIE_ANG_XX,A,63.86,A,75.5,A,65.56
5759,1071_TAI_ANG_XX,D:N,63.75:78.50,A,86,A,73.9
5823,1072_TIE_ANG_XX,A,81.43,A,84.6,A,74.44
5829,1072_IOM_ANG_XX,A,73.12,A,76.2,A,70.88
5835,1072_IWW_ANG_XX,A,72.8,A,80.88,A,87
5859,1072_ITH_ANG_XX,D,66.6,A,77.4,A:D,68.8:74.6
5871,1072_ITS_ANG_XX,N,72.25,A,82,A,79.56
5877,1072_TSI_ANG_XX,A,68.12,A,79.62,A,64.86
5879,1072_TSI_DIS_XX,N,80.5,A,76.33,D,75.67
5883,1072_WSI_ANG_XX,A,44.33,A,81.22,A,78
5977,1074_IEO_ANG_HI,A,85.5,A,85.1,A,89.22
5987,1074_TIE_ANG_XX,A,78.2,A,82.9,A,90.43
5993,1074_IOM_ANG_XX,A,75.67,A,76.11,A,79
6035,1074_ITS_ANG_XX,D,75.8,A,75.17,A,79.67
6062,1075_IEO_FEA_HI,F,66,A,78.12,F,66.22
6069,1075_TIE_ANG_XX,A,54.17,A,79,A,65
6210,1076_WSI_ANG_XX,A,69.67,A,83.5,A,56
6222,1077_IEO_ANG_HI,A,92.12,A,81.8,A,87.1
6303,1078_IEO_ANG_MD,A,70.8,A,78.86,A,74.29
6304,1078_IEO_ANG_HI,A,93.88,A,95.12,A,82.4
6314,1078_TIE_ANG_XX,A,38.83,A,81,A,69.11
6320,1078_IOM_ANG_XX,A,72.88,A,86.2,A,74.89
6332,1078_TAI_ANG_XX,A,70.83,A,80.89,A,85.86
6338,1078_MTI_ANG_XX,A,51.75,A,84,A,87.8
6350,1078_ITH_ANG_XX,A,60.83,A,83.62,A,68.89
6362,1078_ITS_ANG_XX,A,78.62,A,79.9,A,78.11
6374,1078_WSI_ANG_XX,A,75.7,A,86.44,A,71
6385,1079_IEO_ANG_MD,A,62.25,A,77,A,81.4
6386,1079_IEO_ANG_HI,A,94.89,A,79.8,A,82.2
6550,1081_IEO_ANG_HI,A,73.67,A,76.56,A,84.4
6632,1082_IEO_ANG_HI,A,76.88,A,77.56,A,85.7
6642,1082_TIE_ANG_XX,A,64.2,A,78,A,74.71
6648,1082_IOM_ANG_XX,N,65.6,A,78.67,A,69.12
6712,1083_IEO_ANG_LO,A,60.2,A,77.33,A,68.38
6714,1083_IEO_ANG_HI,A,64.6,A,86.88,A,88.12
6724,1083_TIE_ANG_XX,N,62,A,78.1,A,76.89
6736,1083_IWW_ANG_XX,D,57.5,A,88.2,A,81.12
6748,1083_MTI_ANG_XX,N,76,A,80.6,A,61.25
6878,1085_IEO_ANG_HI,A,83.78,A,77,A,76.64
7000,1086_IWL_ANG_XX,A,69.22,A,78.62,A,61.88
7026,1086_TSI_DIS_XX,N,84.4,A,75.67,D,66.57
7052,1087_TIE_ANG_XX,A,48,A,78.6,A,63.43
7124,1088_IEO_ANG_HI,A,92.11,A,83.4,A,89.89
7188,1088_TSI_ANG_XX,A,71.57,A,75,A,61.25
7206,1089_IEO_ANG_HI,A,72.12,A,88.44,A,86.8
7222,1089_IOM_ANG_XX,A,64.11,A,84.5,A,69.78
7234,1089_TAI_ANG_XX,A,74.67,A,82.91,A,92
7246,1089_IWL_ANG_XX,A,69.22,A,78.44,A,81
7252,1089_ITH_ANG_XX,A,69,A,79.88,A,76.6
7288,1090_IEO_ANG_HI,A,63.83,A,83.62,A,83.3
7370,1091_IEO_ANG_HI,A,84.45,A,77,A,86.22
