2845,1035_TSI_DIS_XX,D,64.57,D,86.22,D,81.88
2879,1036_IOM_DIS_XX,N,51,D,76.22,D,58.75
2885,1036_IWW_DIS_XX,D,62,D,75.56,D,64.57
2933,1036_WSI_DIS_XX,D,50.75,D,82,D,66.33
2947,1037_IEO_DIS_LO,S,35.75,D,78.17,D,44.14
2967,1037_IWW_DIS_XX,F,28.75,D,83.44,D,71.71
2973,1037_TAI_DIS_XX,N,51.25,D,76,D,73
2979,1037_MTI_DIS_XX,N,56.75,D,79,D,81.67
3003,1037_ITS_DIS_XX,N,60.67,D,78.6,D,67.56
3015,1037_WSI_DIS_XX,N,56.33,D,77.3,D,70.14
3030,1038_IEO_DIS_MD,D,66.5,D,83.6,D,66.11
3055,1038_TAI_DIS_XX,D,80.56,D,90.5,D,77
3067,1038_IWL_DIS_XX,D,54.25,D,86.29,D,81.57
3073,1038_ITH_DIS_XX,D,58,D,81,D,81.44
3079,1038_DFA_DIS_XX,D,52.62,D,79.12,D,79.25
3091,1038_TSI_DIS_XX,D,66.5,D,87.78,D,81.9
3112,1039_IEO_DIS_MD,N,79.2,D,78.57,D,57.67
3113,1039_IEO_DIS_HI,A,53,D,79.6,D,54.83
3119,1039_TIE_DIS_XX,A,34.67,D,76.6,D,58.89
3131,1039_IWW_DIS_XX,D,73.75,D,86,D,69.86
3155,1039_ITH_DIS_XX,D,77.5,D,86.5,D,61.11
3161,1039_DFA_DIS_XX,D,47.2,D,76.78,D,65
3387,1042_MTI_ANG_XX,N,80.75,D,76.29,D,55
3441,1043_IEO_DIS_HI,D,45.75,D,76.83,D,63.33
3459,1043_IWW_DIS_XX,N,53,D,76.17,D,67.43
3611,1045_TIE_DIS_XX,N,54.67,D,80.5,D,61.75
3641,1045_IWL_DIS_XX,N,61.8,D,79,D,64.1
3653,1045_DFA_DIS_XX,N,74.5,D,80.6,D,63.44
3665,1045_TSI_DIS_XX,N,71.83,D,76.5,D,74.5
3769,1047_IEO_DIS_HI,N,66.75,D,79.57,D,49.56
3849,1048_IEO_DIS_LO,N,76.88,D,77.3,D,61.44
3881,1048_MTI_DIS_XX,N,87.83,D,81.89,D,58
3893,1048_ITH_DIS_XX,N,61.14,D,84.57,D,75.8
3911,1048_TSI_DIS_XX,D,41.6,D,80,D,65.25
3957,1049_TAI_DIS_XX,D,62.29,D,75.2,D,78.62
3999,1049_WSI_DIS_XX,D,58.25,D,92,D:S,67.00:70.67
4040,1050_MTI_NEU_XX,N,67.38,D,77.75,N,85.67
4177,1052_IEO_DIS_LO,N,70.67,D,78.33,D,36.8
4279,1053_IWW_DIS_XX,D,43,D,76.14,D,76.83
4365,1054_TAI_ANG_XX,A,59.6,D,77,A:D,59.6:68.2
4423,1055_IEO_DIS_LO,N,51.17,D,81.88,D,88.17
4424,1055_IEO_DIS_MD,D,55,D,84.7,D,75.8
4425,1055_IEO_DIS_HI,D,65.33,D,90,D,67
4431,1055_TIE_DIS_XX,D,56.4,D,79,D,86.33
4467,1055_ITH_DIS_XX,N,69.17,D,77.29,D,66
4485,1055_TSI_DIS_XX,D,76.25,D,77.4,D,83.5
4491,1055_WSI_DIS_XX,D,63.57,D,81.5,D,77.5
4525,1056_IWW_DIS_XX,D,56,D,78.78,D,76.33
4541,1056_IWL_ANG_XX,A,60.62,D,78,A,62.17
4567,1056_TSI_DIS_XX,H,17.33,D,78.6,D,67
4669,1058_IEO_DIS_LO,N,52,D,88,D,68.75
4695,1058_TAI_DIS_XX,D:N:S,67.00:46.33:51.00,D,88.78,D,77.12
4719,1058_DFA_DIS_XX,D,50.5,D,79.43,D,67.78
4725,1058_ITS_DIS_XX,N,55,D,78.5,D,73
4731,1058_TSI_DIS_XX,D,47.8,D,76.5,D,77.5
4751,1059_IEO_DIS_LO,D,63.11,D,82.62,D,69.33
4759,1059_TIE_DIS_XX,A:D,51.25:78.25,D,89.44,D,78.6
4771,1059_IWW_DIS_XX,F,46.6,D,90.25,D,70.89
4789,1059_IWL_DIS_XX,A:D:N,39.00:59.33:71.00,D,76.5,D,78.5
4795,1059_ITH_DIS_XX,D,53,D,76.71,D,68.89
4813,1059_TSI_DIS_XX,N,61.25,D,75.5,D,74.11
4819,1059_WSI_DIS_XX,A:D,70.00:53.25,D,78.4,D,76.89
4916,1061_IEO_DIS_MD,D,55.8,D,81.57,D,81.9
4917,1061_IEO_DIS_HI,D,53,D,85.78,D,87
4941,1061_TAI_DIS_XX,D,52.29,D,78.86,D,60.8
4953,1061_IWL_DIS_XX,N,44.4,D,76.11,D,59.38
4969,1061_ITS_ANG_XX,D,50.75,D,79.33,D,60.43
5059,1062_TSI_DIS_XX,N,47.4,D,80.2,D,70.11
5060,1062_WSI_NEU_XX,N,67.4,D,75.2,N,80.57
5161,1064_IEO_DIS_LO,D,56.17,D,81.86,D,60.44
5163,1064_IEO_DIS_HI,D,79,D,91,D,95.62
5181,1064_IWW_DIS_XX,D:F:N,32.00:82.00:74.67,D,88,D,81.88
5187,1064_TAI_DIS_XX,N,77.33,D,87.86,D,82.8
5193,1064_MTI_DIS_XX,D:N,40.67:60.00,D,84,D,75.75
5217,1064_ITS_DIS_XX,D,81,D,90.78,D,74.44
5223,1064_TSI_DIS_XX,D,64,D,78.38,D,80.62
5229,1064_WSI_DIS_XX,D,83,D,83,D,81.1
5244,1065_IEO_DIS_MD,N,66.86,D,79.6,D,56.67
5456,1067_DFA_FEA_XX,N,54.71,D,78,N,56.83
5463,1067_ITS_DIS_XX,N,29,D,76.43,D,73.67
5489,1068_IEO_DIS_LO,D,73.75,D,76.89,D,69
5503,1068_IOM_DIS_XX,N,62.25,D,79.29,D,52.44
5527,1068_IWL_DIS_XX,D:N,51:49,D,75.57,D,46.71
5573,1069_IEO_DIS_HI,F,55.2,D,86.22,D,57.67
5579,1069_TIE_DIS_XX,A:D,62.5:52.5,D,85.5,D,61.5
5591,1069_IWW_DIS_XX,D,63.17,D,84.9,D,69.14
5655,1070_IEO_DIS_HI,D,62,D,77,D,73.75
5661,1070_TIE_DIS_XX,D,43.83,D,83.4,D,87.3
5679,1070_TAI_DIS_XX,D,55,D,76.6,D,77.5
5715,1070_TSI_DIS_XX,N,60,D,77,D,69.8
5849,1072_MTI_DIS_XX,N,57.75,D,81,F,63.62
5873,1072_ITS_DIS_XX,H,47.4,D,81.38,D,66.86
5901,1073_IEO_DIS_HI,N,79.5,D,82.83,D,70
5949,1073_DFA_DIS_XX,N,61.86,D,78.5,D,46
5983,1074_IEO_DIS_HI,F,68.75,D,77.4,D,44.5
5989,1074_TIE_DIS_XX,D,33.4,D,75.8,D,76
6001,1074_IWW_DIS_XX,F,63.86,D,86.75,F,61.56
6083,1075_IWW_DIS_XX,N,44.83,D,75.43,F,76.75
6153,1076_TIE_DIS_XX,A:D,62.50:59.75,D,78.9,D,80.9
6189,1076_ITH_DIS_XX,N,50.8,D,78.1,D,66.5
6212,1076_WSI_DIS_XX,D,44.8,D,79.25,D,83.17
6310,1078_IEO_DIS_HI,S,60,D,83.6,D,82.11
6364,1078_ITS_DIS_XX,D,64.17,D,80.56,D,72.9
6376,1078_WSI_DIS_XX,A,55.14,D,85.57,D,78.25
6384,1079_IEO_ANG_LO,A,45.17,D,75.5,A,55.86
6410,1079_IWW_DIS_XX,D,49.67,D,77,D:F,82.0:60.6
6416,1079_TAI_DIS_XX,D:F,72.75:55.00,D,79.14,D,70
6422,1079_MTI_DIS_XX,N,48.5,D,78.83,D,75.38
6492,1080_IWW_DIS_XX,D,77.2,D,75,D,77.33
6510,1080_IWL_DIS_XX,A,12,D,81.17,D,59.75
6516,1080_ITH_DIS_XX,D,60.6,D,77.22,D,66.88
6574,1081_IWW_DIS_XX,D,74.8,D,76.67,D,54.73
6616,1081_TSI_DIS_XX,F,30,D,76.88,D,70.3
6636,1082_IEO_DIS_LO,N,74.4,D,80.33,D,60
6637,1082_IEO_DIS_MD,D,63.38,D,80.62,D,61.8
6644,1082_TIE_DIS_XX,A:D:F:N,59.5:77.0:50.5:52.0,D,75.25,D,76.33
6650,1082_IOM_DIS_XX,N,81.8,D,82,D,66.2
6668,1082_MTI_DIS_XX,N,78.22,D,83,D,66.2
6674,1082_IWL_DIS_XX,N,87.8,D,75.67,D,78.78
6686,1082_DFA_DIS_XX,A,54.2,D,79.62,D,59.88
6698,1082_TSI_DIS_XX,N,69.57,D,83.5,D,69.75
6713,1083_IEO_ANG_MD,A,40,D,78.17,A,57.8
6756,1083_IWL_DIS_XX,N,56.33,D,77.29,D,75
6760,1083_ITH_ANG_XX,A,66.2,D,75.83,A,85.12
6762,1083_ITH_DIS_XX,D:F:S,66.0:68.5:75.5,D,80,D,83.44
6938,1085_ITS_DIS_XX,F,58,D,85.12,D,67.9
6944,1085_TSI_DIS_XX,N,61.6,D,82.33,D,78.71
6950,1085_WSI_DIS_XX,D,60,D,83.56,D,65.75
7047,1087_IEO_DIS_MD,N,50.25,D,82.71,D,77.14
7108,1087_TSI_DIS_XX,D,57,D,75.71,D,64.71
7210,1089_IEO_DIS_LO,N,52.5,D,83.12,D,74.11
7211,1089_IEO_DIS_MD,D:F,27:54,D,85.75,D,62.62
7224,1089_IOM_DIS_XX,N,37,D,79.62,D,78.9
7230,1089_IWW_DIS_XX,F,42.6,D,83.2,D,63.62
7231,1089_TAI_NEU_XX,N,74.44,D,75.33,N,64.29
7236,1089_TAI_DIS_XX,D,39,D,75.17,D,70.89
7248,1089_IWL_DIS_XX,H,36.6,D,78.3,D,74.78
7254,1089_ITH_DIS_XX,D:N,47.67:44.67,D,78.56,D,78.22
7260,1089_DFA_DIS_XX,N,76,D,76,D,75.1
7266,1089_ITS_DIS_XX,F,45.2,D,77,D,80.12
7272,1089_TSI_DIS_XX,D,69,D,77.56,D,84.44
7278,1089_WSI_DIS_XX,D,68.5,D,77.22,D,66.44
7424,1091_DFA_DIS_XX,N,66,D,80.5,D,58.67
7436,1091_TSI_DIS_XX,N,45.33,D,91.83,D,66.89
