1,1001_IEO_NEU_XX,N,69.1,N,92.22,N,64.78
1171,1015_TAI_HAP_XX,H,62,H,75.2,H,71.71
1195,1015_DFA_HAP_XX,H,75.5,H,58.22,H,79.4
1263,1016_MTI_DIS_XX,H,61.4,D,84.12,D,80.14
1435,1018_ITH_HAP_XX,H,55.75,H,73.67,H,68
1441,1018_DFA_HAP_XX,H,74.29,H,59,H,70.75
1493,1019_IWW_HAP_XX,H,55,H,64.67,H,61.5
1542,1020_IEO_HAP_MD,H,64.25,H,80.27,H,79.6
1557,1020_TIE_HAP_XX,H,68.8,H,82.43,H,62.7
1583,1020_MTI_ANG_XX,H,57,D,64.14,D,50.67
1587,1020_IWL_HAP_XX,H,73.67,H,80,H,63.5
1617,1020_WSI_HAP_XX,H,68.33,H,72.1,H,84.9
1657,1021_TAI_HAP_XX,H,59.5,H,84.22,H,47.88
1739,1022_TAI_HAP_XX,H,57.67,H,76.88,H,70.8
1763,1022_DFA_HAP_XX,H,62.17,H,81.5,H,72.11
1781,1022_WSI_HAP_XX,H,55.25,H,76.7,H,79.56
1787,1023_IEO_HAP_LO,H,66.33,H,82.22,H,69.56
1789,1023_IEO_HAP_HI,H,74.4,H,82.3,H,85.57
1803,1023_TIE_HAP_XX,H,53.43,H,83.38,H,70.8
1809,1023_IOM_HAP_XX,H,51.71,H,77.3,H,67.6
1821,1023_TAI_HAP_XX,H,53,H,69.2,H,78.45
1845,1023_DFA_HAP_XX,H,62.33,H,70.56,H,60.1
1851,1023_ITS_HAP_XX,H,63.67,H,73.33,H,83.5
1951,1025_IEO_HAP_LO,H,71.4,H,89,H,58.4
1973,1025_IOM_HAP_XX,H,59.89,H,75.86,H,64.8
1985,1025_TAI_HAP_XX,H,52,H,71.6,H,63.44
2003,1025_ITH_HAP_XX,H,67.17,H,72.8,H,66.3
2009,1025_DFA_HAP_XX,H,55.5,H,70.75,H,68.44
2094,1026_DFA_FEA_XX,H,56,F,58.12,F,59.83
2126,1027_IEO_FEA_HI,H,61.75,F,48.25,F,63.89
2179,1027_ITS_HAP_XX,H,55.6,H,75.4,H,52.2
2197,1028_IEO_HAP_LO,H,58.4,H,50.71,N,72.67
2198,1028_IEO_HAP_MD,H,66.4,H,45.5,H,46.57
2225,1028_IWW_HAP_XX,H,59.67,H,77.88,H,70
2243,1028_IWL_HAP_XX,H,51.71,H,63.71,H,57.22
2261,1028_ITS_HAP_XX,H,50.56,H,85.3,H,74.2
2273,1028_WSI_HAP_XX,H,58.17,H,63,H,61.8
2292,1029_IEO_DIS_MD,H,54,D,74,D,69.83
2319,1029_MTI_HAP_XX,H,61.17,H,82.33,H,80.73
2325,1029_IWL_HAP_XX,H,54.8,H,83.9,H,79.44
2331,1029_ITH_HAP_XX,H,67.88,H,84.78,H,67.22
2337,1029_DFA_HAP_XX,H,64.5,H,77.25,H,72.38
2343,1029_ITS_HAP_XX,H,66,H,80.5,H,77.5
2349,1029_TSI_HAP_XX,H,67.29,H,71.38,H,85.1
2363,1030_IEO_HAP_HI,H,75.67,H,80.11,H,87.7
2413,1030_ITH_HAP_XX,H,62.5,H,80.7,H,79.3
2419,1030_DFA_HAP_XX,H,73.83,H,71.73,H,81
2609,1033_IEO_HAP_HI,H,56,H,76.62,H,81.8
2690,1034_IEO_HAP_MD,H,60.29,H,54.67,H,57.71
2771,1035_IEO_HAP_LO,H,70,H,83,H,73.1
2791,1035_TIE_DIS_XX,H,75,D,73,D,67.22
2829,1035_DFA_HAP_XX,H,58.5,H,80.33,H,72
2841,1035_TSI_HAP_XX,H,73.75,H,78.2,H,71.4
2847,1035_WSI_HAP_XX,H,69.2,H,63.22,H,77.6
2969,1037_TAI_HAP_XX,H,65,H,82.43,H,82
2981,1037_IWL_HAP_XX,H,51.83,H,80.7,H,64.4
2987,1037_ITH_HAP_XX,H,55.5,H,82.89,H,84.6
3019,1038_IEO_HAP_HI,H,88,H,88.67,H,78.89
3033,1038_TIE_HAP_XX,H,72.67,H,82.11,H,68.62
3051,1038_TAI_HAP_XX,H,61.67,H,87,H,68.56
3081,1038_ITS_HAP_XX,H,53.3,H,76.5,H,75.62
3100,1039_IEO_HAP_MD,H,52.33,H,73.22,H,74
3115,1039_TIE_HAP_XX,H,65.89,H,86.8,H,87.5
3127,1039_IWW_HAP_XX,H,62.6,H,65.4,H,68.2
3139,1039_MTI_HAP_XX,H,73.75,H,85.44,H,82.11
3151,1039_ITH_HAP_XX,H,53.5,H,67.89,H,72.14
3163,1039_ITS_HAP_XX,H,55.71,H,53.78,H,67.22
3169,1039_TSI_HAP_XX,H,65,H,72.38,H,79.78
3175,1039_WSI_HAP_XX,H,58.2,H,73.9,H,72.7
3181,1040_IEO_HAP_LO,H,61,H,66.4,H,54
3182,1040_IEO_HAP_MD,H,57.4,H,76.11,H,65.5
3345,1042_IEO_HAP_LO,H,59.29,H,48.4,H,54.6
3347,1042_IEO_HAP_HI,H,56.4,H:N,63.5:42.0,H,39.17
3356,1042_IEO_FEA_HI,H,67.67,A,64.5,A,74.6
3379,1042_TAI_HAP_XX,H,54.88,H,58.29,H,50.89
3428,1043_IEO_HAP_MD,H,60.75,H,77.9,H,72.7
3467,1043_MTI_HAP_XX,H,58.83,H,69.43,H,64.3
3485,1043_DFA_HAP_XX,H,56.57,H,75.57,H,64
3497,1043_TSI_HAP_XX,H,52.4,H,78.89,H,74.89
3531,1044_IOM_HAP_XX,H,53.88,H,63.7,H,56.25
3675,1046_IEO_HAP_HI,H,53.71,H,63.3,H,55.75
3737,1046_ITS_HAP_XX,H,71.67,H,82.3,H,66
3777,1047_IOM_HAP_XX,H,64.33,H,84,H,67.56
3783,1047_IWW_HAP_XX,H,57.25,H,75.8,H,81.6
3789,1047_TAI_HAP_XX,H,52.25,H,71.88,H,62
3813,1047_DFA_HAP_XX,H,70.6,H,71,H,71.56
3895,1048_DFA_HAP_XX,H,60,H,68.4,H,82.14
3920,1049_IEO_HAP_MD,H,78.62,H,84.86,H,90.88
3932,1049_IEO_DIS_MD,H,57.83,S,84,D,74.67
3935,1049_TIE_HAP_XX,H,51.17,H,79.1,H,89.2
3947,1049_IWW_HAP_XX,H,66,H,82.11,H,71.2
3959,1049_MTI_HAP_XX,H,61.25,H,88.11,H,70.1
3965,1049_IWL_HAP_XX,H,74.75,H,76.71,H,86.4
3971,1049_ITH_HAP_XX,H,64.8,H,78,H,86.86
3977,1049_DFA_HAP_XX,H,61.17,H,89.5,H,76.89
3983,1049_ITS_HAP_XX,H,81.56,H,82.11,H,86.3
3995,1049_WSI_HAP_XX,H,68.43,H,86.8,H,78.56
4229,1052_ITS_HAP_XX,H,73.2,H,77.89,H,68.44
4269,1053_IOM_HAP_XX,H,52.62,H,82.44,H,66.62
4275,1053_IWW_HAP_XX,H,58.25,H,86.29,H,70.56
4311,1053_ITS_HAP_XX,H,55.4,H,75.56,H,82.8
4335,1054_IEO_ANG_LO,H,64.67,A,34,A,32.83
4357,1054_IWW_HAP_XX,H,55.8,H,67.67,H,65.33
4363,1054_TAI_HAP_XX,H,56.83,H,76,H,72.11
4393,1054_ITS_HAP_XX,H,73.57,H,76.6,H,75
4481,1055_TSI_HAP_XX,H,50.75,H,83.22,H,82.2
4494,1056_IEO_HAP_MD,H,59,H,82,H,81.67
4495,1056_IEO_HAP_HI,H,50.67,H,85,H,84.14
4533,1056_MTI_HAP_XX,H,75,H,74.56,H,81.56
4551,1056_DFA_HAP_XX,H,64.14,H,75.86,H,52.14
4557,1056_ITS_HAP_XX,H,51.75,H,69.12,H,59.1
4641,1057_ITS_ANG_XX,H,51.25,D,58.4,A:F,36.50:31.75
4658,1058_IEO_HAP_MD,H,61,H,72.43,H,69.3
4670,1058_IEO_DIS_MD,H,58.4,S,63,D,73.67
4703,1058_IWL_HAP_XX,H,59,H,87.9,H,82.1
4740,1059_IEO_HAP_MD,H,61.86,H,79.82,H,86.33
4741,1059_IEO_HAP_HI,H,83.33,H,86.89,H,79.56
4773,1059_TAI_HAP_XX,H,59,H,74.29,H,73.5
4822,1060_IEO_HAP_MD,H,57,H,75.22,H,57
4967,1061_ITS_HAP_XX,H,51,H,78.8,H,79.67
4992,1062_IEO_ANG_MD,H,66.2,A:D,38.33:55.33,A,47
5067,1063_IEO_HAP_LO,H,65.14,H,83,H,74.1
5069,1063_IEO_HAP_HI,H,66.78,H,79.89,H,80.56
5095,1063_IWW_HAP_XX,H,60.8,H,74.56,H,68.4
5101,1063_TAI_HAP_XX,H,58,H,73.6,H,82.89
5119,1063_ITH_HAP_XX,H,77.12,H,69,H,55.82
5125,1063_DFA_HAP_XX,H,64.83,H,63,H,70.67
5131,1063_ITS_HAP_XX,H,64.75,H,80.5,H,66.22
5165,1064_TIE_HAP_XX,H,80.62,H,79.5,H,84.12
5189,1064_MTI_HAP_XX,H,62.33,H,79,H,88.5
5201,1064_ITH_HAP_XX,H,50.33,H,93.7,H,74.22
5213,1064_ITS_HAP_XX,H,52.7,H,77.44,H,76.56
5219,1064_TSI_HAP_XX,H,88.5,H,89.4,H,73.33
5232,1065_IEO_HAP_MD,H,80.5,H,76.1,H,67.78
5247,1065_TIE_HAP_XX,H,53.67,H,74.89,H,73.89
5271,1065_MTI_HAP_XX,H,52.5,H,81.86,H,68.5
5277,1065_IWL_HAP_XX,H,51,H,68,H,69.78
5397,1067_IEO_HAP_HI,H,69.67,H,79.86,H,89.11
5402,1067_IEO_ANG_MD,H,54.33,A,69.44,A,52.5
5505,1068_IWW_HAP_XX,H,52.8,H,78.22,H,87.86
5560,1069_IEO_HAP_MD,H,63.4,H,82.67,H,71
5561,1069_IEO_HAP_HI,H,62.29,H,74.2,H,77.3
5599,1069_MTI_HAP_XX,H,62.67,H,69.8,H,83.2
5605,1069_IWL_HAP_XX,H,73.4,H,78.3,H,82
5617,1069_DFA_HAP_XX,H,59,H,72.6,H,68.82
5652,1070_IEO_FEA_HI,H,52.6,A,52,F:N,59.75:50.25
5821,1072_TIE_HAP_XX,H,53.2,H,89.4,H,79.2
5833,1072_IWW_HAP_XX,H,53.4,H,87.88,H,84.33
5839,1072_TAI_HAP_XX,H,56.29,H,79,H,73.2
5845,1072_MTI_HAP_XX,H,64.57,H,81.11,H,72.78
5857,1072_ITH_HAP_XX,H,65.75,H,90.3,H,77.7
5869,1072_ITS_HAP_XX,H,73.38,H,80.12,H,73.9
5875,1072_TSI_HAP_XX,H,73.67,H,76,H,82.9
5970,1074_IEO_HAP_MD,H,77.5,H,91.78,H,90.88
5971,1074_IEO_HAP_HI,H,78,H,83.3,H,89.6
5976,1074_IEO_ANG_MD,H,88.25,A,59.43,A,49.88
5985,1074_TIE_HAP_XX,H,64.14,H,85.18,H,85
5997,1074_IWW_HAP_XX,H,66.17,H,84,H,87.4
6003,1074_TAI_HAP_XX,H,71.2,H,87.78,H,80.11
6009,1074_MTI_HAP_XX,H,50,H,86.38,H,87.5
6053,1075_IEO_HAP_HI,H,57.33,H,71.44,H,86.5
6073,1075_IOM_HAP_XX,H,56.62,H,71,H,63.75
6103,1075_ITH_HAP_XX,H,53.9,H,77.89,H,85.38
6109,1075_DFA_HAP_XX,H,57.86,H,70.5,H,53.11
6115,1075_ITS_HAP_XX,H,66.33,H,69.6,H,59.64
6135,1076_IEO_HAP_HI,H,70.11,H,82.3,H,69.12
6155,1076_IOM_HAP_XX,H,60.86,H,77.3,H,75.11
6196,1076_ITS_HAP_XX,H,68.6,H,82,H,72.33
6208,1076_WSI_HAP_XX,H,68.29,H,72.9,H,75.3
6297,1078_IEO_HAP_MD,H,63.33,H,81.55,H,87.67
6348,1078_ITH_HAP_XX,H,69.17,H,79.4,H,89.7
6354,1078_DFA_HAP_XX,H,71.5,H,75.33,H,78
6360,1078_ITS_HAP_XX,H,51.5,H,76.25,H,75.33
6366,1078_TSI_HAP_XX,H,61.14,H,80.4,H,82.9
6379,1079_IEO_HAP_MD,H,69.6,H,89.09,H,73.64
6380,1079_IEO_HAP_HI,H,68.71,H,95.18,H,91.4
6389,1079_IEO_FEA_HI,H,88.75,F,66.2,F,92.25
6394,1079_TIE_HAP_XX,H,56.5,H,81.71,H,88.2
6400,1079_IOM_HAP_XX,H,60.62,H,65,H,67.38
6406,1079_IWW_HAP_XX,H,67.62,H,72.88,H,69.9
6412,1079_TAI_HAP_XX,H,71.43,H,88.8,H,79.33
6418,1079_MTI_HAP_XX,H,78.44,H,86,H,69.9
6424,1079_IWL_HAP_XX,H,73.83,H,81.44,H,77.5
6430,1079_ITH_HAP_XX,H,53.33,H,81.11,H,74.09
6436,1079_DFA_HAP_XX,H,76.43,H,78.67,H,73.89
6448,1079_TSI_HAP_XX,H,73.17,H,82.22,H,73.88
6462,1080_IEO_HAP_HI,H,78.17,H,81,H,71.8
6518,1080_DFA_HAP_XX,H,51.91,H,74.62,H,73
6544,1081_IEO_HAP_HI,H,78.5,H,83.7,H,91
6594,1081_ITH_HAP_XX,H,54.67,H,86.5,H,77.44
6612,1081_TSI_HAP_XX,H,76.67,H,77.2,H,89.62
6624,1082_IEO_HAP_LO,H,64.6,H,80.5,H,69
6626,1082_IEO_HAP_HI,H,65.2,H,80.12,H,78.3
6670,1082_IWL_HAP_XX,H,67,H,76.4,H,68.14
6676,1082_ITH_HAP_XX,H,68.4,H,86.9,H,76.56
6688,1082_ITS_HAP_XX,H,56.86,H,81.1,H,70.78
6700,1082_WSI_HAP_XX,H,62,H,72.57,H,76.38
6707,1083_IEO_HAP_MD,H,57,H,73.12,H,73.89
6872,1085_IEO_HAP_HI,H,56.71,H,76.78,H,68.6
6922,1085_ITH_HAP_XX,H,71,H,77.44,H,77.78
6928,1085_DFA_HAP_XX,H,55.5,H,85.44,H,68.55
6934,1085_ITS_HAP_XX,H,77,H,73,H,72
6954,1086_IEO_HAP_HI,H,77.33,H,85.33,H,82.1
6974,1086_IOM_HAP_XX,H,60.25,H,87.1,H,66.44
6986,1086_TAI_HAP_XX,H,57.4,H,66.22,H,80.75
6998,1086_IWL_HAP_XX,H,53.57,H,65.89,H,66.4
7004,1086_ITH_HAP_XX,H,62,H,76.12,H,75.8
7016,1086_ITS_HAP_XX,H,60,H,75.12,H,72.5
7028,1086_WSI_HAP_XX,H,63.7,H,75.67,H,81.2
7198,1089_IEO_HAP_LO,H,71.44,H,81,H,75.25
7200,1089_IEO_HAP_HI,H,61.57,H,80.57,H,77.3
7214,1089_TIE_HAP_XX,H,65.8,H,84.8,H,72.3
7220,1089_IOM_HAP_XX,H,70.4,H,81.25,H,84
7232,1089_TAI_HAP_XX,H,60.86,H,88.3,H,78.6
7238,1089_MTI_HAP_XX,H,60.44,H,75.29,H,78
7256,1089_DFA_HAP_XX,H,69.29,H,67.89,H,76.9
7296,1090_TIE_HAP_XX,H,59,H,77.9,H,70.5
7384,1091_IOM_HAP_XX,H,66.71,H,72.5,H,58.62
7420,1091_DFA_HAP_XX,H,75.14,H,74.78,H,61.88
